Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
META,0.17,0.13,0.16,0.13,0.175
GOOGL,0.14,0.125,0.12,0.12,0.1225
GOOG,0.05,0.125,0.08,0.1,0.1225
NFLX,0.1,0.1,0.1,0.1,0.105
TMUS,0.08,0.08,0.1,0.1,0.095
CMCSA,0.07,0.065,0.07,0.07,0.07
DIS,0.06,0.06,0.06,0.04,0.03
EA,0.045,0.05,0.045,0.05,0.04
TTWO,0.045,0.05,0.035,0.04,0.04
CHTR,0.04,0.04,0.07,0.06,0.055
LYV,0.03,0.03,0.02,0.03,0.025
MTCH,0.025,0.03,0.02,0.025,0.02
OMC,0.025,0.015,0.015,0.02,0.016
IPG,0.02,0.015,0.015,0.015,0.016
VZ,0.02,0.02,0.025,0.03,0.02
WBD,0.02,0.015,0.015,0.01,0.008
T,0.015,0.015,0.02,0.02,0.016
PARA,0.015,0.015,0.01,0.01,0.006
FOXA,0.015,0.01,0.01,0.015,0.009
NWSA,0.015,0.01,0.01,0.015,0.009
