Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
COST,0.11,0.1,0.095,0.1,0.105
PG,0.095,0.075,0.085,0.08,0.09
PEP,0.095,0.08,0.085,0.08,0.085
WMT,0.09,0.07,0.07,0.055,0.085
KO,0.08,0.065,0.065,0.05,0.07
MDLZ,0.065,0.07,0.075,0.07,0.065
MNST,0.05,0.05,0.06,0.065,0.06
STZ,0.045,0.045,0.06,0.06,0.045
CHD,0.04,0.04,0.055,0.065,0.045
CL,0.04,0.045,0.04,0.045,0.055
HSY,0.035,0.04,0.02,0.045,0.02
KDP,0.035,0.035,0.04,0.03,0.03
GIS,0.035,0.045,0.04,0.035,0.04
KR,0.035,0.04,0.04,0.03,0.035
SYY,0.03,0.03,0.025,0.03,0.03
KMB,0.03,0.035,0.03,0.035,0.03
MKC,0.03,0.035,0.025,0.04,0.03
PM,0.025,0.035,0.045,0.04,0.035
EL,0.02,0.025,0.025,0.02,0.015
ADM,0.015,0.04,0.02,0.025,0.03
