Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LLY,0.09,0.09,0.09,0.095,0.095
UNH,0.075,0.06,0.07,0.07,0.06
TMO,0.075,0.07,0.07,0.075,0.07
DHR,0.065,0.06,0.06,0.055,0.05
ABT,0.05,0.055,0.065,0.045,0.05
SYK,0.05,0.06,0.05,0.05,0.06
REGN,0.05,0.05,0.06,0.07,0.06
VRTX,0.05,0.055,0.05,0.065,0.06
BSX,0.055,0.05,0.045,0.03,0.055
ISRG,0.055,0.055,0.05,0.04,0.055
IDXX,0.035,0.035,0.04,0.025,0.045
EW,0.03,0.035,0.045,0.03,0.03
IQV,0.045,0.035,0.035,0.055,0.035
MRK,0.05,0.055,0.05,0.055,0.05
ABBV,0.055,0.045,0.045,0.037,0.045
MCK,0.04,0.045,0.035,0.055,0.045
ELV,0.04,0.035,0.045,0.05,0.04
COR,0.03,0.04,0.03,0.04,0.035
HCA,0.03,0.035,0.035,0.03,0.03
GILD,0.03,0.035,0.03,0.028,0.03
