Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
ETN,0.085,0.085,0.08,0.085,0.08
PH,0.07,0.05,0.07,0.06,0.07
TT,0.065,0.06,0.06,0.06,0.06
ROK,0.055,0.075,0.065,0.06,0.06
PWR,0.07,0.08,0.06,0.065,0.06
CARR,0.04,0.05,0.055,0.055,0.035
EMR,0.04,0.04,0.045,0.04,0.035
GWW,0.045,0.055,0.055,0.045,0.05
DE,0.05,0.035,0.035,0.03,0.05
CAT,0.045,0.03,0.035,0.03,0.04
WM,0.04,0.045,0.055,0.04,0.05
UNP,0.035,0.04,0.05,0.03,0.05
UPS,0.03,0.03,0.04,0.03,0.03
LMT,0.05,0.04,0.04,0.06,0.045
NOC,0.045,0.035,0.045,0.055,0.04
RTX,0.04,0.035,0.03,0.04,0.035
TDG,0.065,0.065,0.06,0.065,0.06
HWM,0.045,0.04,0.035,0.05,0.05
GE,0.05,0.065,0.04,0.065,0.06
ITW,0.035,0.045,0.045,0.035,0.04
