Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LIN,0.11,0.12,0.1,0.09,0.115
APD,0.09,0.09,0.09,0.075,0.085
SHW,0.085,0.08,0.085,0.075,0.08
ECL,0.07,0.07,0.085,0.07,0.075
PPG,0.05,0.045,0.04,0.045,0.055
MLM,0.06,0.05,0.06,0.05,0.065
VMC,0.06,0.05,0.06,0.05,0.065
DD,0.035,0.025,0.035,0.035,0.03
LYB,0.025,0.035,0.04,0.035,0.03
DOW,0.025,0.025,0.025,0.03,0.025
CF,0.02,0.045,0.02,0.03,0.025
MOS,0.02,0.03,0.02,0.025,0.02
CTVA,0.055,0.06,0.04,0.06,0.06
FCX,0.06,0.075,0.06,0.065,0.045
NEM,0.025,0.03,0.025,0.045,0.035
ALB,0.045,0.04,0.035,0.055,0.03
NUE,0.045,0.035,0.04,0.05,0.045
STLD,0.04,0.025,0.04,0.04,0.04
BALL,0.035,0.025,0.05,0.03,0.03
PKG,0.045,0.045,0.05,0.045,0.045
