Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NEE,0.095,0.095,0.1,0.11,0.1
CEG,0.07,0.095,0.08,0.09,0.08
SRE,0.065,0.05,0.07,0.06,0.07
AEP,0.05,0.06,0.06,0.065,0.06
SO,0.055,0.06,0.03,0.065,0.05
DUK,0.055,0.06,0.055,0.065,0.05
EXC,0.06,0.07,0.055,0.065,0.06
XEL,0.06,0.06,0.06,0.05,0.06
WEC,0.05,0.04,0.06,0.045,0.05
DTE,0.045,0.035,0.05,0.035,0.05
CMS,0.045,0.035,0.05,0.035,0.05
LNT,0.04,0.035,0.045,0.03,0.04
ETR,0.035,0.04,0.025,0.03,0.04
NRG,0.045,0.05,0.05,0.03,0.05
AES,0.03,0.05,0.06,0.025,0.04
PEG,0.04,0.04,0.025,0.05,0.04
ED,0.035,0.04,0.02,0.045,0.03
AWK,0.055,0.025,0.03,0.04,0.03
ATO,0.035,0.03,0.02,0.03,0.03
CNP,0.035,0.03,0.055,0.035,0.02
