Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
JPM,0.11881188118811878,0.11,0.14,0.13,0.13
BAC,0.0792079207920792,0.08,0.04,0.1,0.09
GS,0.09900990099009899,0.08,0.11,0.09,0.09
MS,0.0693069306930693,0.08,0.03,0.09,0.09
BLK,0.0792079207920792,0.08,0.1,0.08,0.05
SCHW,0.0693069306930693,0.07,0.07,0.06,0.05
AON,0.0792079207920792,0.07,0.09,0.06,0.07
PNC,0.05940594059405939,0.04,0.05,0.04,0.04
USB,0.04950495049504949,0.05,0.05,0.03,0.04
MMC,0.0396039603960396,0.05,0.04,0.04,0.06
AIG,0.04950495049504949,0.04,0.04,0.02,0.03
AXP,0.04950495049504949,0.06,0.04,0.05,0.06
CME,0.05940594059405939,0.07,0.08,0.07,0.08
ICE,0.05940594059405939,0.06,0.08,0.07,0.08
C,0.0396039603960396,0.06,0.04,0.07,0.04
