Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
RTX,0.0679611650485437,0.08,0.1,0.08,0.1
LMT,0.0970873786407767,0.1,0.07,0.1,0.1
NOC,0.07766990291262135,0.1,0.06,0.08,0.05
BA,0.04854368932038835,0.03,0.04,0.07,0.05
HON,0.08737864077669902,0.08,0.1,0.09,0.08
ITW,0.0679611650485437,0.1,0.05,0.06,0.06
CAT,0.08737864077669902,0.05,0.13,0.07,0.08
DE,0.07766990291262135,0.04,0.08,0.05,0.05
CMI,0.04854368932038835,0.03,0.06,0.03,0.1
EMR,0.058252427184466014,0.08,0.05,0.05,0.06
PH,0.058252427184466014,0.07,0.03,0.04,0.05
UNP,0.07766990291262135,0.09,0.11,0.09,0.07
FDX,0.04854368932038835,0.06,0.06,0.06,0.06
MMM,0.04854368932038835,0.04,0.03,0.06,0.04
GE,0.04854368932038835,0.05,0.03,0.07,0.05
