Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
META,0.14,0.1212121212121212,0.1,0.15,0.14285714285714285
GOOGL,0.11,0.10101010101010101,0.1,0.14,0.1248751248751249
GOOG,0.11,0.10101010101010101,0.1,0.14,0.1248751248751249
NFLX,0.1,0.0808080808080808,0.075,0.1,0.10689310689310691
DIS,0.08,0.0808080808080808,0.0625,0.08,0.07092907092907093
CMCSA,0.07,0.0707070707070707,0.0625,0.05,0.03596403596403597
EA,0.06,0.0606060606060606,0.05,0.04,0.08891108891108891
TTWO,0.06,0.0404040404040404,0.05,0.03,0.07092907092907093
MTCH,0.06,0.0404040404040404,0.05,0.06,0.026973026973026976
TMUS,0.05,0.050505050505050504,0.05,0.02,0.03596403596403597
T,0.015,0.0202020202020202,0.03125,0.02,0.008991008991008992
VZ,0.015,0.0202020202020202,0.03125,0.02,0.008991008991008992
CHTR,0.015,0.0303030303030303,0.0375,0.03,0.05394605394605395
OMC,0.015,0.0202020202020202,0.0375,0.02,0.026973026973026976
IPG,0.015,0.0303030303030303,0.0375,0.01,0.017982017982017984
FOXA,0.015,0.0303030303030303,0.025,0.03,0.008991008991008992
FOX,0.015,0.0202020202020202,0.025,0.02,0.008991008991008992
PARA,0.02,0.0202020202020202,0.025,0.015,0.017982017982017984
WBD,0.02,0.0202020202020202,0.025,0.015,0.008991008991008992
LYV,0.015,0.0404040404040404,0.025,0.01,0.008991008991008992
