Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
PEP,0.12,0.07631526305261054,0.07,0.08,0.085
COST,0.09,0.07631526305261054,0.08,0.1,0.095
KO,0.08,0.06781356271254252,0.05,0.07,0.08
PG,0.09,0.06781356271254252,0.06,0.07,0.06
MDLZ,0.07,0.059311862372474496,0.07,0.06,0.06
EL,0.07,0.059311862372474496,0.08,0.05,0.07
CLX,0.06,0.03390678135627126,0.05,0.05,0.025
STZ,0.05,0.050810162032406486,0.06,0.04,0.035
GIS,0.05,0.050810162032406486,0.07,0.04,0.03
HSY,0.04,0.059311862372474496,0.06,0.04,0.04
PM,0.04,0.016903380676135227,0.02,0.025,0.035
MO,0.03,0.016903380676135227,0.02,0.025,0.035
KHC,0.03,0.03390678135627126,0.02,0.05,0.015
CHD,0.03,0.050810162032406486,0.06,0.04,0.045
CAG,0.03,0.03390678135627126,0.02,0.04,0.045
KMB,0.03,0.04240848169633927,0.05,0.05,0.05
SJM,0.03,0.04240848169633927,0.05,0.04,0.03
CL,0.02,0.050810162032406486,0.03,0.04,0.05
KR,0.02,0.04240848169633927,0.03,0.03,0.04
WMT,0.02,0.06781356271254252,0.05,0.06,0.075
