Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
XOM,0.12,0.13,0.12,0.06,0.08
CVX,0.1,0.13,0.11,0.06,0.08
COP,0.06,0.1,0.1,0.1,0.06
EOG,0.08,0.08,0.04,0.11,0.07
APA,0.05,0.06,0.04,0.07,0.05
DVN,0.04,0.05,0.03,0.08,0.05
OXY,0.03,0.05,0.02,0.05,0.05
HES,0.04,0.012,0.03,0.04,0.04
EQT,0.02,0.05,0.02,0.03,0.03
CTRA,0.02,0.012,0.02,0.04,0.03
SLB,0.07,0.012,0.05,0.02,0.06
HAL,0.06,0.012,0.04,0.02,0.04
BKR,0.04,0.012,0.02,0.02,0.03
FANG,0.03,0.05,0.02,0.09,0.05
KMI,0.05,0.04,0.06,0.04,0.05
WMB,0.04,0.04,0.05,0.04,0.04
OKE,0.03,0.04,0.02,0.03,0.03
PSX,0.05,0.04,0.07,0.03,0.05
VLO,0.04,0.04,0.06,0.04,0.04
MPC,0.03,0.04,0.08,0.03,0.07
