Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
UNH,0.10606060606060605,0.08,0.1,0.08,0.08
JNJ,0.0707070707070707,0.06,0.1,0.07,0.07
ABBV,0.0808080808080808,0.03,0.05,0.06,0.06
MRK,0.0606060606060606,0.04,0.03,0.04,0.04
LLY,0.0707070707070707,0.07,0.06,0.05,0.045
AMGN,0.0707070707070707,0.09,0.06,0.06,0.045
PFE,0.050505050505050504,0.02,0.03,0.03,0.052000000000000005
TMO,0.0606060606060606,0.1,0.08,0.08,0.065
MDT,0.050505050505050504,0.05,0.06,0.06,0.055
DHR,0.050505050505050504,0.09,0.08,0.06,0.05
VRTX,0.04545454545454545,0.06,0.02,0.05,0.061
ISRG,0.03535353535353535,0.07,0.07,0.05,0.04
HUM,0.03535353535353535,0.04,0.04,0.04,0.043
ABT,0.0303030303030303,0.04,0.05,0.05,0.069
GILD,0.0303030303030303,0.03,0.03,0.05,0.043
SYK,0.0303030303030303,0.03,0.04,0.04,0.026000000000000002
CI,0.0303030303030303,0.03,0.04,0.03,0.043
HCA,0.0303030303030303,0.02,0.02,0.03,0.035
BIIB,0.0303030303030303,0.02,0.02,0.05,0.026000000000000002
BMY,0.0303030303030303,0.03,0.02,0.02,0.052000000000000005
