Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AAPL,0.1,0.08,0.1,0.11,0.09
MSFT,0.11,0.08,0.12,0.12,0.11
NVDA,0.12,0.1,0.12,0.14,0.09
AVGO,0.06,0.07,0.06,0.07,0.07
AMD,0.06,0.08,0.06,0.08,0.06
ADBE,0.06,0.07,0.06,0.06,0.06
CRM,0.06,0.06,0.06,0.05,0.06
NOW,0.06,0.06,0.06,0.04,0.05
WDAY,0.06,0.03,0.03,0.02,0.04
TXN,0.03,0.04,0.05,0.05,0.05
LRCX,0.03,0.04,0.05,0.035,0.04
QCOM,0.03,0.04,0.03,0.055,0.05
INTU,0.03,0.04,0.03,0.03,0.05
CSCO,0.03,0.03,0.02,0.015,0.04
PANW,0.03,0.04,0.02,0.03,0.03
FTNT,0.03,0.02,0.02,0.01,0.03
INTC,0.03,0.03,0.02,0.01,0.01
ORCL,0.03,0.04,0.03,0.04,0.03
CRWD,0.02,0.04,0.04,0.03,0.03
IBM,0.02,0.01,0.02,0.005,0.01
