Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
PLD,0.09,0.08,0.13,0.11,0.09
DLR,0.12,0.07,0.13,0.11,0.09
EQIX,0.11,0.07,0.08,0.11,0.09
AMT,0.1,0.08,0.07,0.08,0.09
SBAC,0.1,0.08,0.05,0.07,0.07
PSA,0.08,0.06,0.04,0.06,0.075
EXR,0.06,0.05,0.04,0.08,0.09
CCI,0.06,0.08,0.09,0.08,0.07
WELL,0.04,0.05,0.04,0.04,0.04
VTR,0.04,0.03,0.02,0.05,0.05
AVB,0.03,0.03,0.06,0.01,0.04
EQR,0.03,0.03,0.06,0.05,0.04
O,0.02,0.05,0.04,0.0,0.025
BXP,0.02,0.03,0.01,0.03,0.015
HST,0.02,0.01,0.02,0.02,0.015
SPG,0.02,0.05,0.04,0.0,0.015
MAA,0.02,0.05,0.04,0.06,0.04
IRM,0.02,0.02,0.01,0.04,0.03
FRT,0.01,0.04,0.02,0.0,0.015
KIM,0.01,0.04,0.01,0.0,0.01
