Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NEE,0.14285714285714285,0.1,0.11,0.11378977820636452,0.1
EXC,0.10204081632653061,0.07,0.09,0.07907425265188044,0.08
AWK,0.08163265306122448,0.02,0.07,0.06846673095467695,0.05
ES,0.08163265306122448,0.06,0.07,0.03375120540019287,0.07
AEP,0.07142857142857142,0.07,0.08,0.05689488910318226,0.07
ED,0.06122448979591836,0.05,0.07,0.045323047251687565,0.05
SO,0.06122448979591836,0.08,0.05,0.05689488910318226,0.06
WEC,0.05102040816326531,0.03,0.04,0.03375120540019287,0.05
PEG,0.05102040816326531,0.04,0.05,0.045323047251687565,0.04
CMS,0.04081632653061224,0.05,0.04,0.03375120540019287,0.04
XEL,0.04081632653061224,0.025,0.04,0.045323047251687565,0.04
D,0.03061224489795918,0.08,0.03,0.05689488910318226,0.05
DUK,0.03061224489795918,0.08,0.05,0.09064609450337513,0.08
PPL,0.025510204081632654,0.03,0.03,0.023143683702989394,0.03
PNW,0.025510204081632654,0.05,0.02,0.023143683702989394,0.03
AEE,0.02040816326530612,0.025,0.04,0.03375120540019287,0.02
SRE,0.02040816326530612,0.06,0.05,0.09064609450337513,0.06
EVRG,0.02040816326530612,0.04,0.03,0.023143683702989394,0.04
FE,0.02040816326530612,0.02,0.02,0.023143683702989394,0.02
CNP,0.02040816326530612,0.02,0.02,0.023143683702989394,0.02
