Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
GOOGL,0.16,0.15,0.14,0.12,0.10909090909090906
META,0.16,0.14,0.14,0.12,0.09999999999999998
NFLX,0.1,0.12,0.1,0.1,0.09090909090909088
DIS,0.08,0.07,0.09,0.09,0.08181818181818179
TMUS,0.07,0.1,0.08,0.08,0.06363636363636363
CMCSA,0.07,0.06,0.07,0.07,0.07272727272727271
CHTR,0.06,0.05,0.06,0.07,0.05454545454545453
TTWO,0.05,0.08,0.04,0.06,0.06363636363636363
EA,0.05,0.08,0.03,0.06,0.06363636363636363
WBD,0.04,0.04,0.04,0.04,0.05454545454545453
VZ,0.03,0.03,0.05,0.05,0.05454545454545453
T,0.03,0.03,0.05,0.05,0.04545454545454544
FOXA,0.03,0.02,0.04,0.04,0.04545454545454544
PARA,0.03,0.02,0.04,0.03,0.04545454545454544
OMC,0.04,0.01,0.03,0.02,0.05454545454545453
