Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AMZN,0.12,0.0832916708329167,0.15,0.125,0.15
TSLA,0.12,0.09259074092590741,0.15,0.125,0.15
HD,0.08,0.0647935206479352,0.06,0.05,0.1
LOW,0.08,0.0647935206479352,0.05,0.05,0.08
NKE,0.07,0.0740925907409259,0.05,0.05,0.07
SBUX,0.07,0.0740925907409259,0.05,0.05,0.06
MCD,0.06,0.055594440555944404,0.05,0.05,0.06
BKNG,0.05,0.0740925907409259,0.1,0.125,0.05
TJX,0.05,0.0647935206479352,0.045,0.05,0.04
CMG,0.1,0.0832916708329167,0.1,0.125,0.1
BBY,0.04,0.046295370462953706,0.04,0.04,0.03
ROST,0.05,0.055594440555944404,0.045,0.04,0.03
GM,0.03,0.055594440555944404,0.04,0.04,0.03
F,0.04,0.046295370462953706,0.035,0.04,0.02
ORLY,0.04,0.0647935206479352,0.035,0.04,0.03
