Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
V,0.12,0.08882235528942113,0.1,0.09,0.1
MA,0.12,0.08882235528942113,0.1,0.09,0.1
JPM,0.1,0.061876247504990003,0.05,0.1,0.08
BRK.B,0.09,0.0708582834331337,0.1,0.11,0.12
GS,0.08,0.0708582834331337,0.05,0.08,0.07
MS,0.08,0.061876247504990003,0.05,0.07,0.06
BLK,0.07,0.07984031936127743,0.1,0.06,0.08
AXP,0.06,0.0708582834331337,0.1,0.06,0.08
SCHW,0.06,0.07984031936127743,0.1,0.06,0.06
BAC,0.05,0.052894211576846296,0.05,0.06,0.05
WFC,0.04,0.04391217564870258,0.05,0.06,0.05
CB,0.04,0.052894211576846296,0.0375,0.04,0.04
AIG,0.03,0.052894211576846296,0.0375,0.04,0.04
PRU,0.03,0.061876247504990003,0.0375,0.04,0.035
MET,0.03,0.061876247504990003,0.0375,0.04,0.035
