Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
LLY,0.1,0.12,0.1020408163265306,0.09090909090909091,0.039996000399960006
VRTX,0.095,0.11,0.09183673469387756,0.08080808080808081,0.1166883311668833
ISRG,0.09,0.1,0.09183673469387756,0.08080808080808081,0.074992500749925
TMO,0.08,0.09,0.0816326530612245,0.08080808080808081,0.024997500249975005
ABBV,0.075,0.04,0.07142857142857142,0.07070707070707072,0.039996000399960006
MRK,0.075,0.04,0.07142857142857142,0.07070707070707072,0.039996000399960006
JNJ,0.07,0.04,0.0510204081632653,0.05050505050505051,0.039996000399960006
UNH,0.065,0.05,0.0510204081632653,0.04040404040404041,0.09999000099990002
ABT,0.06,0.05,0.06122448979591836,0.060606060606060615,0.074992500749925
MDT,0.06,0.05,0.04081632653061225,0.060606060606060615,0.074992500749925
DHR,0.055,0.08,0.0816326530612245,0.07070707070707072,0.024997500249975005
AMGN,0.05,0.07,0.06122448979591836,0.07070707070707072,0.1166883311668833
SYK,0.045,0.06,0.04081632653061225,0.060606060606060615,0.074992500749925
GILD,0.04,0.06,0.06122448979591836,0.060606060606060615,0.1166883311668833
PFE,0.04,0.04,0.04081632653061225,0.05050505050505051,0.039996000399960006
