Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AAPL,0.1,0.0781,0.092,0.1,0.0733926607339266
MSFT,0.12,0.0833,0.1,0.12,0.0825917408259174
NVDA,0.15,0.0938,0.125,0.14,0.0916908309169083
CRM,0.06,0.0677,0.058,0.07,0.06419358064193578
ADBE,0.06,0.0625,0.05,0.06,0.0733926607339266
AVGO,0.08,0.0729,0.075,0.08,0.0825917408259174
QCOM,0.05,0.0677,0.067,0.06,0.0733926607339266
TXN,0.04,0.0573,0.042,0.05,0.054994500549944994
ORCL,0.04,0.0521,0.033,0.04,0.0458954104589541
CSCO,0.03,0.0469,0.025,0.04,0.0458954104589541
IBM,0.03,0.0417,0.017,0.03,0.0366963303669633
NOW,0.07,0.0677,0.083,0.07,0.0825917408259174
MU,0.04,0.0729,0.108,0.05,0.06419358064193578
AMD,0.09,0.0833,0.117,0.08,0.0825917408259174
INTC,0.04,0.0521,0.008,0.01,0.0458954104589541
