Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
EQIX,0.12,0.12,0.10714285714285716,0.09998000399920016,0.09
DLR,0.12,0.12,0.10714285714285716,0.09998000399920016,0.09
AMT,0.1,0.11,0.10714285714285716,0.09998000399920016,0.08
PLD,0.1,0.1,0.10714285714285716,0.09998000399920016,0.08
O,0.08,0.08,0.035714285714285726,0.04169166166766647,0.06
PSA,0.06,0.07,0.07142857142857145,0.06998600279944012,0.07
EXR,0.06,0.07,0.07142857142857145,0.06998600279944012,0.07
WELL,0.06,0.06,0.07142857142857145,0.06998600279944012,0.07
AVB,0.05,0.05,0.07142857142857145,0.06998600279944012,0.07
EQR,0.05,0.05,0.07142857142857145,0.06998600279944012,0.07
SPG,0.04,0.04,0.035714285714285726,0.04169166166766647,0.05
KIM,0.04,0.04,0.035714285714285726,0.04169166166766647,0.05
ARE,0.04,0.04,0.035714285714285726,0.04169166166766647,0.06
BXP,0.04,0.03,0.035714285714285726,0.04169166166766647,0.05
HST,0.04,0.02,0.035714285714285726,0.04169166166766647,0.04
