Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
MO,0.09844559585492227,0.058252427184466014,0.03,0.10767696909272184,0.025
PM,0.0932642487046632,0.058252427184466014,0.03,0.09870388833499504,0.025
KO,0.08808290155440414,0.08737864077669902,0.09,0.05383848454636092,0.085
PEP,0.08290155440414507,0.08737864077669902,0.09,0.04985044865403789,0.08
PG,0.077720207253886,0.10679611650485436,0.1,0.0448654037886341,0.09
WMT,0.06735751295336788,0.10679611650485436,0.08,0.02691924227318046,0.1
COST,0.0621761658031088,0.0679611650485437,0.08,0.01296111665004985,0.1
CL,0.056994818652849735,0.04854368932038835,0.06,0.04287138584247258,0.055
MDLZ,0.05181347150259067,0.058252427184466014,0.07,0.039880358923230316,0.06
KMB,0.0466321243523316,0.04854368932038835,0.06,0.05583250249252244,0.05
GIS,0.03626943005181347,0.038834951456310676,0.05,0.05882352941176471,0.045
K,0.0310880829015544,0.038834951456310676,0.05,0.06281156530408774,0.04
MKC,0.025906735751295335,0.029126213592233007,0.04,0.04685942173479562,0.035
HSY,0.025906735751295335,0.029126213592233007,0.04,0.0378863409770688,0.03
CLX,0.025906735751295335,0.029126213592233007,0.04,0.048853439680957136,0.03
SYY,0.025906735751295335,0.029126213592233007,0.02,0.04287138584247258,0.03
ADM,0.025906735751295335,0.019417475728155338,0.02,0.04985044865403789,0.025
EL,0.025906735751295335,0.019417475728155338,0.02,0.021934197407776673,0.04
TSN,0.025906735751295335,0.019417475728155338,0.02,0.0448654037886341,0.025
HRL,0.025906735751295335,0.019417475728155338,0.01,0.0518444666001994,0.03
