Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
XOM,0.13,0.11881188118811878,0.17493002798880444,0.125,0.1333
CVX,0.13,0.11881188118811878,0.17493002798880444,0.125,0.1333
COP,0.08,0.09900990099009899,0.016693322670931623,0.0389,0.1333
EOG,0.07,0.0792079207920792,0.016693322670931623,0.0389,0.0125
SLB,0.06,0.05940594059405939,0.016693322670931623,0.05,0.0167
MPC,0.055,0.0693069306930693,0.06667333066773289,0.05,0.05
PSX,0.055,0.05940594059405939,0.06667333066773289,0.05,0.05
VLO,0.045,0.04950495049504949,0.06667333066773289,0.05,0.05
HES,0.04,0.0396039603960396,0.016693322670931623,0.0389,0.0125
OXY,0.04,0.0396039603960396,0.016693322670931623,0.0389,0.0125
DVN,0.035,0.029702970297029695,0.016693322670931623,0.0389,0.0125
FANG,0.035,0.029702970297029695,0.016693322670931623,0.0389,0.0125
APA,0.03,0.0198019801980198,0.016693322670931623,0.0389,0.0125
HAL,0.03,0.0198019801980198,0.016693322670931623,0.05,0.0167
BKR,0.03,0.0198019801980198,0.016693322670931623,0.05,0.0167
WMB,0.03,0.029702970297029695,0.08326669332267092,0.0333,0.1
OKE,0.03,0.029702970297029695,0.08326669332267092,0.0333,0.1
KMI,0.025,0.029702970297029695,0.08326669332267092,0.0333,0.1
EQT,0.025,0.029702970297029695,0.016693322670931623,0.0389,0.0125
CTRA,0.025,0.029702970297029695,0.016693322670931623,0.0389,0.0125
