Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
DOW,0.05000500050005,0.05558332500249925,0.06,0.05,0.05273833671399593
DD,0.05000500050005,0.05558332500249925,0.06,0.05,0.05273833671399593
LIN,0.05000500050005,0.05558332500249925,0.08,0.125,0.08316430020283974
APD,0.05000500050005,0.05558332500249925,0.08,0.125,0.0791075050709939
ECL,0.05000500050005,0.05558332500249925,0.08,0.125,0.06795131845841784
LYB,0.05000500050005,0.05558332500249925,0.06,0.05,0.048681541582150094
ALB,0.05000500050005,0.05558332500249925,0.08,0.125,0.07606490872210951
EMN,0.05000500050005,0.05558332500249925,0.02,0.05,0.045638945233265706
NUE,0.07500750075007499,0.07497750674797561,0.06,0.02,0.04259634888438133
STLD,0.07500750075007499,0.07497750674797561,0.04,0.02,0.03752535496957403
FCX,0.07500750075007499,0.04998500449865041,0.04,0.02,0.03245436105476673
NEM,0.07500750075007499,0.04998500449865041,0.04,0.02,0.03245436105476673
MLM,0.05000500050005,0.037488753373987806,0.04,0.02,0.045638945233265706
VMC,0.05000500050005,0.037488753373987806,0.04,0.02,0.045638945233265706
IP,0.0333033303330333,0.033290012996101175,0.02,0.02,0.03752535496957403
PKG,0.0333033303330333,0.033290012996101175,0.02,0.02,0.03752535496957403
AVY,0.0333033303330333,0.033290012996101175,0.02,0.02,0.03752535496957403
SHW,0.025002500250025,0.037488753373987806,0.08,0.05,0.063894523326572
PPG,0.025002500250025,0.037488753373987806,0.06,0.05,0.048681541582150094
MOS,0.05000500050005,0.05558332500249925,0.02,0.02,0.03245436105476673
