Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
NEE,0.0651,0.02917861359419801,0.06938612277544491,0.0344,0.15
DUK,0.0615,0.06223646483386744,0.0624875024995001,0.0551,0.12
SO,0.0615,0.07842806544105245,0.0624875024995001,0.0523,0.1
AEP,0.0564,0.046719514251981786,0.055588882223555285,0.0482,0.08
EXC,0.0521,0.033226513745994266,0.055588882223555285,0.0441,0.07
D,0.0543,0.05911620846685781,0.055588882223555285,0.051,0.06
XEL,0.0492,0.04798448304941812,0.04859028194361128,0.0468,0.05
WEC,0.0485,0.052875695732838596,0.04859028194361128,0.0496,0.05
ED,0.047,0.07657277787147918,0.055588882223555285,0.0579,0.04
PEG,0.0579,0.06071850227694383,0.04859028194361128,0.0537,0.04
AEE,0.0543,0.03853938269522685,0.04169166166766647,0.0455,0.03
FE,0.0456,0.04933378310001687,0.04169166166766647,0.0523,0.03
CMS,0.0463,0.046719514251981786,0.04169166166766647,0.0482,0.03
LNT,0.0427,0.03972002023950076,0.04169166166766647,0.051,0.025
NI,0.0434,0.04798448304941812,0.04169166166766647,0.0468,0.025
CNP,0.0449,0.04435823916343397,0.04859028194361128,0.0413,0.02
ETR,0.0441,0.06223646483386744,0.04859028194361128,0.0537,0.02
PCG,0.0398,0.027997976049924104,0.034693061387722456,0.062,0.02
EIX,0.042,0.04933378310001687,0.04859028194361128,0.0565,0.02
ES,0.0434,0.046719514251981786,0.04859028194361128,0.0496,0.02
