Stock,Weight
AMZN,0.1663201663201663
TSLA,0.13097713097713096
NKE,0.08316008316008315
HD,0.07900207900207899
MCD,0.06652806652806652
SBUX,0.05613305613305613
LOW,0.05197505197505197
BKNG,0.045738045738045734
TJX,0.039501039501039496
GM,0.03326403326403326
F,0.031185031185031176
CMG,0.031185031185031176
LULU,0.030145530145530137
DPZ,0.025987525987525985
ULTA,0.023908523908523903
ROST,0.023908523908523903
DRI,0.02079002079002079
YUM,0.02079002079002079
AZO,0.019750519750519748
ORLY,0.019750519750519748
