Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
JNJ,0.09523809523809522,0.09523809523809522,0.09523809523809522,0.09523809523809522,0.1
PFE,0.07619047619047617,0.07619047619047617,0.07619047619047617,0.07619047619047617,0.08
MRK,0.07619047619047617,0.07619047619047617,0.07619047619047617,0.07619047619047617,0.08
ABT,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.07
MDT,0.05714285714285713,0.05714285714285713,0.05714285714285713,0.05714285714285713,0.06
LLY,0.08571428571428569,0.08571428571428569,0.08571428571428569,0.08571428571428569,0.09
AMGN,0.05714285714285713,0.05714285714285713,0.05714285714285713,0.05714285714285713,0.06
GILD,0.04761904761904761,0.04761904761904761,0.04761904761904761,0.04761904761904761,0.05
VRTX,0.05714285714285713,0.05714285714285713,0.05714285714285713,0.05714285714285713,0.05
REGN,0.04761904761904761,0.04761904761904761,0.04761904761904761,0.05714285714285713,0.05
UNH,0.09523809523809522,0.09523809523809522,0.09523809523809522,0.09523809523809522,0.1
CI,0.05714285714285713,0.05714285714285713,0.06666666666666665,0.04761904761904761,0.06
ISRG,0.04761904761904761,0.04761904761904761,0.04761904761904761,0.04761904761904761,0.05
SYK,0.04761904761904761,0.04761904761904761,0.04761904761904761,0.04761904761904761,0.05
ABBV,0.08571428571428569,0.08571428571428569,0.07619047619047617,0.08571428571428569,0.05
