Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AAPL,0.15,0.14285714285714282,0.15,0.15,0.14018691588785043
MSFT,0.15,0.1333333333333333,0.15,0.14,0.1308411214953271
NVDA,0.12,0.11428571428571425,0.12,0.12,0.11214953271028034
ADBE,0.08,0.07619047619047617,0.08,0.08,0.0747663551401869
CRM,0.07,0.06666666666666665,0.07,0.07,0.06542056074766354
INTC,0.05,0.04761904761904761,0.05,0.05,0.046728971962616814
CSCO,0.05,0.04761904761904761,0.05,0.05,0.046728971962616814
QCOM,0.05,0.04761904761904761,0.05,0.05,0.046728971962616814
AMD,0.06,0.05714285714285713,0.06,0.06,0.05607476635514017
ORCL,0.05,0.04761904761904761,0.04,0.04,0.046728971962616814
PANW,0.04,0.05714285714285713,0.05,0.05,0.05607476635514017
NOW,0.04,0.05714285714285713,0.05,0.05,0.05607476635514017
TXN,0.03,0.038095238095238085,0.03,0.03,0.03738317757009345
INTU,0.03,0.038095238095238085,0.03,0.03,0.046728971962616814
LRCX,0.03,0.028571428571428564,0.02,0.03,0.03738317757009345
