Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
PLD,0.12,0.12,0.12371134020618554,0.12,0.12
AMT,0.1,0.1,0.10309278350515462,0.1,0.1
EQIX,0.1,0.1,0.10309278350515462,0.1,0.1
PSA,0.08,0.08,0.0824742268041237,0.08,0.08
SPG,0.07,0.07,0.07216494845360824,0.07,0.07
WELL,0.07,0.07,0.07216494845360824,0.07,0.07
DLR,0.07,0.07,0.07216494845360824,0.07,0.07
AVB,0.06,0.06,0.06185567010309277,0.06,0.06
EQR,0.06,0.06,0.06185567010309277,0.06,0.06
EXR,0.06,0.06,0.05154639175257731,0.06,0.06
VTR,0.05,0.05,0.05154639175257731,0.05,0.05
BXP,0.04,0.04,0.04123711340206185,0.04,0.04
O,0.04,0.04,0.04123711340206185,0.04,0.04
KIM,0.04,0.04,0.030927835051546386,0.04,0.04
HST,0.04,0.04,0.030927835051546386,0.04,0.04
