Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
META,0.13636363636363635,0.15228426395939085,0.13636363636363635,0.15,0.13636363636363635
GOOGL,0.10909090909090907,0.12182741116751268,0.10909090909090907,0.12,0.10909090909090907
NFLX,0.09090909090909091,0.08121827411167513,0.09090909090909091,0.1,0.09090909090909091
EA,0.045454545454545456,0.03553299492385787,0.045454545454545456,0.05,0.045454545454545456
TTWO,0.045454545454545456,0.03553299492385787,0.045454545454545456,0.05,0.045454545454545456
MTCH,0.027272727272727268,0.03045685279187817,0.027272727272727268,0.03,0.027272727272727268
T,0.045454545454545456,0.04568527918781726,0.045454545454545456,0.05,0.054545454545454536
VZ,0.045454545454545456,0.04568527918781726,0.045454545454545456,0.05,0.054545454545454536
CMCSA,0.054545454545454536,0.05076142131979696,0.054545454545454536,0.06,0.06363636363636364
CHTR,0.03636363636363636,0.04060913705583757,0.03636363636363636,0.04,0.045454545454545456
DIS,0.07272727272727272,0.07106598984771574,0.07272727272727272,0.08,0.07272727272727272
FOXA,0.01818181818181818,0.020304568527918784,0.01818181818181818,0.02,0.01818181818181818
PARA,0.01818181818181818,0.020304568527918784,0.01818181818181818,0.01,0.01818181818181818
WBD,0.027272727272727268,0.02538071065989848,0.01818181818181818,0.02,0.027272727272727268
TMUS,0.054545454545454536,0.06091370558375634,0.054545454545454536,0.06,0.054545454545454536
OMC,0.01818181818181818,0.015228426395939085,0.01818181818181818,0.02,0.01818181818181818
IPG,0.01818181818181818,0.015228426395939085,0.01818181818181818,0.02,0.01818181818181818
LYV,0.01818181818181818,0.015228426395939085,0.01818181818181818,0.03,0.01818181818181818
NWSA,0.00909090909090909,0.015228426395939085,0.01818181818181818,0.01,0.00909090909090909
GOOG,0.10909090909090907,0.10152284263959392,0.10909090909090907,0.03,0.07272727272727272
