Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
AMZN,0.15873015873015872,0.20512820512820512,0.15873015873015872,0.15384615384615383,0.15463917525773196
TSLA,0.12698412698412698,0.15384615384615383,0.12698412698412698,0.12307692307692306,0.12371134020618557
NKE,0.08465608465608465,0.08205128205128205,0.08465608465608465,0.08205128205128205,0.08247422680412371
HD,0.07407407407407407,0.08205128205128205,0.07407407407407407,0.08205128205128205,0.08247422680412371
MCD,0.06349206349206349,0.06153846153846153,0.06349206349206349,0.07179487179487179,0.07216494845360825
SBUX,0.05291005291005291,0.05128205128205128,0.05291005291005291,0.06153846153846153,0.061855670103092786
LOW,0.05291005291005291,0.05128205128205128,0.05291005291005291,0.05128205128205128,0.051546391752577324
BKNG,0.047619047619047616,0.041025641025641026,0.047619047619047616,0.041025641025641026,0.051546391752577324
TJX,0.042328042328042326,0.030769230769230764,0.042328042328042326,0.041025641025641026,0.041237113402061855
GM,0.037037037037037035,0.030769230769230764,0.037037037037037035,0.030769230769230764,0.030927835051546393
F,0.031746031746031744,0.030769230769230764,0.031746031746031744,0.030769230769230764,0.030927835051546393
CMG,0.031746031746031744,0.030769230769230764,0.031746031746031744,0.030769230769230764,0.030927835051546393
LULU,0.031746031746031744,0.02564102564102564,0.031746031746031744,0.030769230769230764,0.030927835051546393
DPZ,0.026455026455026454,0.020512820512820513,0.026455026455026454,0.02564102564102564,0.030927835051546393
ULTA,0.026455026455026454,0.020512820512820513,0.026455026455026454,0.02564102564102564,0.020618556701030927
ROST,0.026455026455026454,0.020512820512820513,0.026455026455026454,0.02564102564102564,0.020618556701030927
DRI,0.021164021164021163,0.015384615384615382,0.021164021164021163,0.02564102564102564,0.020618556701030927
YUM,0.021164021164021163,0.015384615384615382,0.021164021164021163,0.02564102564102564,0.020618556701030927
AZO,0.021164021164021163,0.015384615384615382,0.021164021164021163,0.020512820512820513,0.020618556701030927
ORLY,0.021164021164021163,0.015384615384615382,0.021164021164021163,0.020512820512820513,0.020618556701030927
