Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
PG,0.1,0.10101010101010101,0.1224489795918367,0.10101010101010101,0.11173184357541899
KO,0.08,0.0909090909090909,0.1020408163265306,0.0909090909090909,0.10055865921787707
PEP,0.08,0.0808080808080808,0.1020408163265306,0.0808080808080808,0.08938547486033518
WMT,0.07,0.0707070707070707,0.09183673469387753,0.0707070707070707,0.0782122905027933
COST,0.07,0.0707070707070707,0.08163265306122447,0.0707070707070707,0.0782122905027933
CL,0.06,0.0606060606060606,0.06122448979591835,0.0606060606060606,0.06703910614525138
KMB,0.05,0.050505050505050504,0.0510204081632653,0.050505050505050504,0.055865921787709494
GIS,0.05,0.050505050505050504,0.0510204081632653,0.050505050505050504,0.050279329608938536
K,0.05,0.050505050505050504,0.040816326530612235,0.050505050505050504,0.04469273743016759
MDLZ,0.05,0.050505050505050504,0.040816326530612235,0.050505050505050504,0.04469273743016759
ADM,0.04,0.0404040404040404,0.030612244897959176,0.0404040404040404,0.03910614525139665
SYY,0.04,0.0404040404040404,0.030612244897959176,0.0404040404040404,0.03910614525139665
HRL,0.04,0.0404040404040404,0.030612244897959176,0.0404040404040404,0.03351955307262569
MKC,0.04,0.0404040404040404,0.030612244897959176,0.0404040404040404,0.03351955307262569
CHD,0.04,0.0303030303030303,0.030612244897959176,0.0303030303030303,0.027932960893854747
CLX,0.03,0.0303030303030303,0.020408163265306117,0.0303030303030303,0.027932960893854747
TSN,0.03,0.0303030303030303,0.020408163265306117,0.0303030303030303,0.022346368715083796
SJM,0.03,0.0303030303030303,0.020408163265306117,0.0303030303030303,0.022346368715083796
KHC,0.03,0.0202020202020202,0.020408163265306117,0.0202020202020202,0.016759776536312845
EL,0.02,0.0202020202020202,0.020408163265306117,0.0202020202020202,0.016759776536312845
