Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
XOM,0.12,0.10309278350515463,0.11764705882352938,0.12,0.12
CVX,0.1,0.09278350515463916,0.0980392156862745,0.1,0.1
COP,0.08,0.08247422680412371,0.07843137254901959,0.08,0.08
EOG,0.07,0.07216494845360825,0.06862745098039215,0.07,0.07
OXY,0.05,0.06185567010309278,0.04901960784313725,0.06,0.05
MPC,0.06,0.05154639175257732,0.05882352941176469,0.06,0.06
VLO,0.05,0.05154639175257732,0.04901960784313725,0.05,0.05
PSX,0.05,0.05154639175257732,0.04901960784313725,0.05,0.05
KMI,0.05,0.041237113402061855,0.039215686274509796,0.04,0.04
WMB,0.04,0.041237113402061855,0.039215686274509796,0.04,0.04
OKE,0.04,0.041237113402061855,0.039215686274509796,0.04,0.04
SLB,0.06,0.041237113402061855,0.05882352941176469,0.05,0.05
BKR,0.04,0.041237113402061855,0.04901960784313725,0.04,0.04
HAL,0.04,0.041237113402061855,0.04901960784313725,0.04,0.04
DVN,0.03,0.03092783505154639,0.029411764705882346,0.03,0.03
APA,0.02,0.03092783505154639,0.019607843137254898,0.02,0.02
HES,0.03,0.03092783505154639,0.029411764705882346,0.03,0.03
FANG,0.03,0.03092783505154639,0.029411764705882346,0.03,0.03
CTRA,0.02,0.03092783505154639,0.019607843137254898,0.02,0.03
TRGP,0.02,0.03092783505154639,0.029411764705882346,0.03,0.03
