Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
JPM,0.09708737864077668,0.10869565217391304,0.1,0.12,0.1
BAC,0.07766990291262134,0.08695652173913043,0.08,0.1,0.09
WFC,0.058252427184466,0.07608695652173914,0.07,0.08,0.08
C,0.04854368932038834,0.06521739130434782,0.06,0.07,0.07
GS,0.06796116504854367,0.06521739130434782,0.07,0.09,0.06
MS,0.058252427184466,0.05434782608695652,0.06,0.08,0.06
BLK,0.07766990291262134,0.05978260869565217,0.06,0.06,0.06
SCHW,0.06796116504854367,0.048913043478260865,0.05,0.05,0.05
AXP,0.058252427184466,0.05434782608695652,0.05,0.05,0.05
PNC,0.03883495145631067,0.043478260869565216,0.04,0.04,0.04
USB,0.03883495145631067,0.03804347826086957,0.04,0.04,0.04
TFC,0.029126213592233,0.03260869565217391,0.04,0.03,0.04
MET,0.03883495145631067,0.03804347826086957,0.04,0.03,0.04
PRU,0.029126213592233,0.03260869565217391,0.03,0.03,0.04
AIG,0.029126213592233,0.03260869565217391,0.03,0.02,0.03
TROW,0.03883495145631067,0.02717391304347826,0.03,0.02,0.03
STT,0.029126213592233,0.02717391304347826,0.03,0.02,0.03
CME,0.04854368932038834,0.03260869565217391,0.04,0.03,0.03
CB,0.03883495145631067,0.03804347826086957,0.04,0.02,0.03
TRV,0.029126213592233,0.03804347826086957,0.04,0.02,0.03
