Stock,Weight
PG,0.10638297872340424
 KO,0.09574468085106382
 PEP,0.09042553191489361
 WMT,0.08510638297872339
 COST,0.07978723404255317
 CL,0.06382978723404253
 KMB,0.05851063829787233
 GIS,0.05319148936170212
 K,0.04787234042553191
 MDLZ,0.04787234042553191
 ADM,0.042553191489361694
 SYY,0.03723404255319149
 HRL,0.03191489361702127
 MKC,0.03191489361702127
 CHD,0.02659574468085106
 CLX,0.02659574468085106
 TSN,0.021276595744680847
 SJM,0.021276595744680847
 KHC,0.015957446808510634
 EL,0.015957446808510634
