sector,portfolio,difference
energy,gpt4o_weighted_energy,0.006705595347574
energy,gpt4o_equal_energy,0.0061774546780338
energy,gpt4o Min Var,-0.0011343291002212
energy,gpt4o Max Ret,-0.0087373308960222
energy,gpt4o Max Sharpe,-0.0106094565772221
energy,gpt4.1_weighted_energy,-0.0033476181392536
energy,gpt4.1_equal_energy,-0.0060360689122672
energy,gpt4.1 Min Var,-0.0179691197201158
energy,gpt4.1 Max Ret,-0.0157554552660964
energy,gpt4.1 Max Sharpe,-0.0281169126538949
energy,o4-mini_weighted_energy,0.0059796900519178
energy,o4-mini_equal_energy,0.0054366202952802
energy,o4-mini Min Var,-0.0005379230596065
energy,o4-mini Max Ret,0.0028460178591758
energy,o4-mini Max Sharpe,-0.0118838006177949
energy,sonnet-3.7_weighted_energy,-0.0041939953707525
energy,sonnet-3.7_equal_energy,-0.0035134880486822
energy,sonnet-3.7 Min Var,-0.0165121579815628
energy,sonnet-3.7 Max Ret,-0.0118489705182646
energy,sonnet-3.7 Max Sharpe,-0.0157276640531002
energy,sonnet-4_weighted_energy,0.004275531468936
energy,sonnet-4_equal_energy,0.0028725447327144
energy,sonnet-4 Min Var,-0.0016560525013628
energy,sonnet-4 Max Ret,-0.0010455793823915
energy,sonnet-4 Max Sharpe,-0.0088843252587862
energy,opus-4_weighted_energy,-0.0021760156384558
energy,opus-4_equal_energy,0.0052624961798624
energy,opus-4 Min Var,-0.0085435144428938
energy,opus-4 Max Ret,0.005422863374261
energy,opus-4 Max Sharpe,-0.0106309510355358
energy,dsV3_weighted_energy,0.0004672580280805
energy,dsV3_equal_energy,0.0069273656223639
energy,dsV3 Min Var,-0.0004211479391169
energy,dsV3 Max Ret,-0.0102418530610544
energy,dsV3 Max Sharpe,-0.0114358793546586
energy,dsR1_weighted_energy,-0.0053538278074396
energy,dsR1_equal_energy,-0.0052204472239851
energy,dsR1 Min Var,-0.0174078464553268
energy,dsR1 Max Ret,-0.0170410751767059
energy,dsR1 Max Sharpe,-0.0248630661166578
energy,gemini_weighted_energy,0.0002056176963334
energy,gemini_equal_energy,-0.0056047557760658
energy,gemini Min Var,-0.0175278355961205
energy,gemini Max Ret,-0.0159602323632504
energy,gemini Max Sharpe,-0.0181601248718724
energy,grok3_weighted_energy,-0.0028629216523185
energy,grok3_equal_energy,-0.0046212470374706
energy,grok3 Min Var,-0.0175479107322483
energy,grok3 Max Ret,-0.0129640875569102
energy,grok3 Max Sharpe,-0.0202338267858912
energy,grok3-mini_weighted_energy,8.805236346767562e-06
energy,grok3-mini_equal_energy,-0.0031412579461629
energy,grok3-mini Min Var,-0.0163945696103413
energy,grok3-mini Max Ret,-0.0129463780702568
energy,grok3-mini Max Sharpe,-0.0215050159051951
materials,gpt4o_weighted_materials,0.0048132487448325
materials,gpt4o_equal_materials,-0.0011983049755062
materials,gpt4o Min Var,-0.0008207370994766
materials,gpt4o Max Ret,-0.0017681121630502
materials,gpt4o Max Sharpe,-0.0144021628216264
materials,gpt4.1_weighted_materials,-0.0029984625271486
materials,gpt4.1_equal_materials,-0.0019573387722437
materials,gpt4.1 Min Var,-0.0028292576998978
materials,gpt4.1 Max Ret,6.903122302660505e-05
materials,gpt4.1 Max Sharpe,-0.0123897247576233
materials,o4-mini_weighted_materials,0.0065957300354025
materials,o4-mini_equal_materials,0.0057354131060968
materials,o4-mini Min Var,-0.0010214067872565
materials,o4-mini Max Ret,0.0014236939602588
materials,o4-mini Max Sharpe,-0.0112397922554012
materials,sonnet-3.7_weighted_materials,-0.0092842125770839
materials,sonnet-3.7_equal_materials,-0.0234878291661132
materials,sonnet-3.7 Min Var,-0.0118314327731973
materials,sonnet-3.7 Max Ret,-0.0251204986786723
materials,sonnet-3.7 Max Sharpe,-0.0227087893788117
materials,sonnet-4_weighted_materials,0.0052576291450929
materials,sonnet-4_equal_materials,-0.0044268450942101
materials,sonnet-4 Min Var,-0.01136390871422
materials,sonnet-4 Max Ret,-0.0031825703049399
materials,sonnet-4 Max Sharpe,-0.0159293647948903
materials,opus-4_weighted_materials,-0.001880444524806
materials,opus-4_equal_materials,-0.0032182045638569
materials,opus-4 Min Var,-0.0159087524746827
materials,opus-4 Max Ret,-0.0158550536109584
materials,opus-4 Max Sharpe,-0.013928216562251
materials,dsV3_weighted_materials,-0.010756129383305
materials,dsV3_equal_materials,-0.0164265604195862
materials,dsV3 Min Var,-0.0132946220444264
materials,dsV3 Max Ret,-0.0302789624900653
materials,dsV3 Max Sharpe,-0.0213408133835803
materials,dsR1_weighted_materials,0.0076399227599466
materials,dsR1_equal_materials,0.0023833185066062
materials,dsR1 Min Var,0.0028245312725993
materials,dsR1 Max Ret,-0.0052791569230127
materials,dsR1 Max Sharpe,-0.0047047612620346
materials,gemini_weighted_materials,0.0124082989968877
materials,gemini_equal_materials,0.0142380263835548
materials,gemini Min Var,0.0139746913508991
materials,gemini Max Ret,0.0074280632527058
materials,gemini Max Sharpe,-0.0043489601099586
materials,grok3_weighted_materials,0.0089818340365033
materials,grok3_equal_materials,0.0073912730198354
materials,grok3 Min Var,0.0030576515557161
materials,grok3 Max Ret,0.0043835494509346
materials,grok3 Max Sharpe,-0.0083340348102573
materials,grok3-mini_weighted_materials,0.0374809716854349
materials,grok3-mini_equal_materials,0.0326290376297159
materials,grok3-mini Min Var,0.0140599379800079
materials,grok3-mini Max Ret,0.0293057064859041
materials,grok3-mini Max Sharpe,0.010734067877462
industrials,gpt4o_weighted_industrials,0.0246183024199609
industrials,gpt4o_equal_industrials,0.0258207922524801
industrials,gpt4o Min Var,0.0415610244192826
industrials,gpt4o Max Ret,0.0218349161890646
industrials,gpt4o Max Sharpe,0.0268039031274446
industrials,gpt4.1_weighted_industrials,0.0119831291730876
industrials,gpt4.1_equal_industrials,0.0122306114196911
industrials,gpt4.1 Min Var,0.019709977188913
industrials,gpt4.1 Max Ret,-0.0051917579507315
industrials,gpt4.1 Max Sharpe,0.0013622988385931
industrials,o4-mini_weighted_industrials,0.0262780750013523
industrials,o4-mini_equal_industrials,0.0241261370080872
industrials,o4-mini Min Var,0.0364249273656776
industrials,o4-mini Max Ret,0.0217894125776757
industrials,o4-mini Max Sharpe,0.0217894125776773
industrials,sonnet-3.7_weighted_industrials,0.0181897139221024
industrials,sonnet-3.7_equal_industrials,0.0261353809941198
industrials,sonnet-3.7 Min Var,0.0333284497839586
industrials,sonnet-3.7 Max Ret,0.0186612348269901
industrials,sonnet-3.7 Max Sharpe,0.0140556668202722
industrials,sonnet-4_weighted_industrials,0.0300704563526513
industrials,sonnet-4_equal_industrials,0.022716340423815
industrials,sonnet-4 Min Var,0.0360332653984968
industrials,sonnet-4 Max Ret,0.0168812544162394
industrials,sonnet-4 Max Sharpe,0.0164265322779933
industrials,opus-4_weighted_industrials,0.0189396250694913
industrials,opus-4_equal_industrials,0.0059103381437623
industrials,opus-4 Min Var,0.0222416809094135
industrials,opus-4 Max Ret,-0.0039283401020678
industrials,opus-4 Max Sharpe,-0.001618959003185
industrials,dsV3_weighted_industrials,-0.0033173347336654
industrials,dsV3_equal_industrials,-0.006272909166348
industrials,dsV3 Min Var,0.0109155709149766
industrials,dsV3 Max Ret,-0.0213577400607957
industrials,dsV3 Max Sharpe,-0.0183879010282317
industrials,dsR1_weighted_industrials,-0.0029438028082857
industrials,dsR1_equal_industrials,-0.0027724841055772
industrials,dsR1 Min Var,0.0067936731825421
industrials,dsR1 Max Ret,-0.0147489517001875
industrials,dsR1 Max Sharpe,-0.0150078530777411
industrials,gemini_weighted_industrials,0.0166101827635939
industrials,gemini_equal_industrials,0.0211751781405368
industrials,gemini Min Var,0.0355667036357009
industrials,gemini Max Ret,0.0042942271606648
industrials,gemini Max Sharpe,0.0131559519293023
industrials,grok3_weighted_industrials,0.0207974152375956
industrials,grok3_equal_industrials,0.0239122510871363
industrials,grok3 Min Var,0.0363752279215551
industrials,grok3 Max Ret,0.0218571559509606
industrials,grok3 Max Sharpe,0.0239765873236967
industrials,grok3-mini_weighted_industrials,0.015882923644991
industrials,grok3-mini_equal_industrials,0.020314756619379
industrials,grok3-mini Min Var,0.0322289062082751
industrials,grok3-mini Max Ret,0.0157698305159183
industrials,grok3-mini Max Sharpe,0.0165671592093519
consumer_discretionary,gpt4o_weighted_consumer_discretionary,0.0092900425279889
consumer_discretionary,gpt4o_equal_consumer_discretionary,0.0153083218331353
consumer_discretionary,gpt4o Min Var,0.0350717704154019
consumer_discretionary,gpt4o Max Ret,-0.0038796590461447
consumer_discretionary,gpt4o Max Sharpe,-0.0011698317519457
consumer_discretionary,gpt4.1_weighted_consumer_discretionary,0.011666768931026
consumer_discretionary,gpt4.1_equal_consumer_discretionary,0.0194973066809913
consumer_discretionary,gpt4.1 Min Var,0.04139502124989
consumer_discretionary,gpt4.1 Max Ret,0.0105021190652655
consumer_discretionary,gpt4.1 Max Sharpe,0.0103213995861924
consumer_discretionary,o4-mini_weighted_consumer_discretionary,0.0080894027055758
consumer_discretionary,o4-mini_equal_consumer_discretionary,0.0133528989409732
consumer_discretionary,o4-mini Min Var,0.0369094401163336
consumer_discretionary,o4-mini Max Ret,-0.0008425234141991
consumer_discretionary,o4-mini Max Sharpe,-0.0006359156046971
consumer_discretionary,sonnet-3.7_weighted_consumer_discretionary,0.0071374410079681
consumer_discretionary,sonnet-3.7_equal_consumer_discretionary,0.0176360572743069
consumer_discretionary,sonnet-3.7 Min Var,0.0323050394560684
consumer_discretionary,sonnet-3.7 Max Ret,0.0094948347169974
consumer_discretionary,sonnet-3.7 Max Sharpe,0.0041165499080748
consumer_discretionary,sonnet-4_weighted_consumer_discretionary,0.0073022765294606
consumer_discretionary,sonnet-4_equal_consumer_discretionary,0.020462142208099
consumer_discretionary,sonnet-4 Min Var,0.0367748869351128
consumer_discretionary,sonnet-4 Max Ret,0.0087866173515753
consumer_discretionary,sonnet-4 Max Sharpe,0.005123362085179
consumer_discretionary,opus-4_weighted_consumer_discretionary,0.0067502588262588
consumer_discretionary,opus-4_equal_consumer_discretionary,0.0213506434455081
consumer_discretionary,opus-4 Min Var,0.0413936577115725
consumer_discretionary,opus-4 Max Ret,0.0091856407055984
consumer_discretionary,opus-4 Max Sharpe,0.0051598778335134
consumer_discretionary,dsV3_weighted_consumer_discretionary,0.001334651166888
consumer_discretionary,dsV3_equal_consumer_discretionary,0.0077770189081524
consumer_discretionary,dsV3 Min Var,0.0279155923967642
consumer_discretionary,dsV3 Max Ret,0.0037081869083096
consumer_discretionary,dsV3 Max Sharpe,-1.860257257019429e-05
consumer_discretionary,dsR1_weighted_consumer_discretionary,0.0027222627253747
consumer_discretionary,dsR1_equal_consumer_discretionary,0.0095480237816234
consumer_discretionary,dsR1 Min Var,0.0336868710804807
consumer_discretionary,dsR1 Max Ret,-0.0084115210680549
consumer_discretionary,dsR1 Max Sharpe,0.004203643525223
consumer_discretionary,gemini_weighted_consumer_discretionary,0.0094348946803717
consumer_discretionary,gemini_equal_consumer_discretionary,0.0147681884175355
consumer_discretionary,gemini Min Var,0.0344112724025626
consumer_discretionary,gemini Max Ret,0.0016864676092028
consumer_discretionary,gemini Max Sharpe,0.0033441568251106
consumer_discretionary,grok3_weighted_consumer_discretionary,0.005053727014676
consumer_discretionary,grok3_equal_consumer_discretionary,0.0046049776441672
consumer_discretionary,grok3 Min Var,0.0262548615342454
consumer_discretionary,grok3 Max Ret,-0.0049878568120488
