sector,portfolio,difference
energy,gpt4o_weighted_energy,0.004648735758644979
energy,gpt4o_equal_energy,0.008083968413170722
energy,gpt4o Min Var,-0.00891524418400752
energy,gpt4o Max Ret,-0.011784367338732404
energy,gpt4o Max Sharpe,-0.013796604436422158
energy,gpt4.1_weighted_energy,-0.0026871331856643463
energy,gpt4.1_equal_energy,-0.0010118603324905196
energy,gpt4.1 Min Var,-0.01523097267228549
energy,gpt4.1 Max Ret,-0.0073629260316638015
energy,gpt4.1 Max Sharpe,-0.016219821572807287
energy,o4-mini_weighted_energy,0.016126294391045317
energy,o4-mini_equal_energy,0.019786330949578296
energy,o4-mini Min Var,0.0016565956529997691
energy,o4-mini Max Ret,0.018538774342357338
energy,o4-mini Max Sharpe,0.008608032555584899
energy,sonnet-3.7_weighted_energy,-0.013716194874421207
energy,sonnet-3.7_equal_energy,-0.002020033093480554
energy,sonnet-3.7 Min Var,-0.01484642088016149
energy,sonnet-3.7 Max Ret,-0.008228132235305627
energy,sonnet-3.7 Max Sharpe,-0.008119981286159757
energy,sonnet-4_weighted_energy,0.005291954102066657
energy,sonnet-4_equal_energy,0.01618032570246145
energy,sonnet-4 Min Var,2.865323342991975e-05
energy,sonnet-4 Max Ret,0.019242436553623843
energy,sonnet-4 Max Sharpe,0.017045056124418506
energy,opus-4_weighted_energy,-0.0023537995828557434
energy,opus-4_equal_energy,0.007138536094562988
energy,opus-4 Min Var,-0.0038486614568503247
energy,opus-4 Max Ret,0.0005115393446571603
energy,opus-4 Max Sharpe,0.0014356894128577183
energy,dsV3_weighted_energy,0.01064785610700311
energy,dsV3_equal_energy,0.02498388954499135
energy,dsV3 Min Var,0.004447678432011777
energy,dsV3 Max Ret,0.01791290959211996
energy,dsV3 Max Sharpe,0.016568210154552863
energy,dsR1_weighted_energy,0.007087151869983372
energy,dsR1_equal_energy,0.0073302955004112555
energy,dsR1 Min Var,-0.010665158349620655
energy,dsR1 Max Ret,0.0019571271811353952
energy,dsR1 Max Sharpe,-8.527094100297037e-05
energy,gemini_weighted_energy,0.004101168788042518
energy,gemini_equal_energy,0.007222801772491265
energy,gemini Min Var,-0.010640740270212215
energy,gemini Max Ret,0.00991003542040579
energy,gemini Max Sharpe,0.007136112697756661
energy,grok3_weighted_energy,0.0031818401066778146
energy,grok3_equal_energy,0.0047371308869864365
energy,grok3 Min Var,-0.009483402200777934
energy,grok3 Max Ret,0.005845092300313937
energy,grok3 Max Sharpe,0.006182017820231991
energy,grok3-mini_weighted_energy,-0.003215505682670349
energy,grok3-mini_equal_energy,-0.0019107334207365
energy,grok3-mini Min Var,-0.014870782055039772
energy,grok3-mini Max Ret,-0.016335765571884965
energy,grok3-mini Max Sharpe,-0.01795459054777007
materials,gpt4o_weighted_materials,0.012431377866171317
materials,gpt4o_equal_materials,0.018740754046273952
materials,gpt4o Min Var,-0.01133755113065954
materials,gpt4o Max Ret,0.030301103109808752
materials,gpt4o Max Sharpe,0.0036232909193342974
materials,gpt4.1_weighted_materials,-0.004079687209352571
materials,gpt4.1_equal_materials,0.0035486568217789013
materials,gpt4.1 Min Var,-0.02660477105736699
materials,gpt4.1 Max Ret,0.010208648979988747
