sector,portfolio,difference
energy,gpt4o_weighted_energy,0.0040267084393966
energy,gpt4o_equal_energy,0.0123408264723324
energy,gpt4o Min Var,-0.0038104779580606
energy,gpt4o Max Ret,0.0081040615097517
energy,gpt4o Max Sharpe,-0.0081405028148078
energy,gpt4.1_weighted_energy,0.0026669581996697
energy,gpt4.1_equal_energy,0.0069897631200345
energy,gpt4.1 Min Var,-0.0095336289523325
energy,gpt4.1 Max Ret,-0.0060796440942433
energy,gpt4.1 Max Sharpe,-0.0223955276650781
energy,o4-mini_weighted_energy,0.0064453283272576
energy,o4-mini_equal_energy,0.0069897631200345
energy,o4-mini Min Var,-0.0095336289523327
energy,o4-mini Max Ret,-0.0060796440942433
energy,o4-mini Max Sharpe,-0.022395527665078
energy,sonnet-3.7_weighted_energy,-0.0054990647505407
energy,sonnet-3.7_equal_energy,0.0079726943896708
energy,sonnet-3.7 Min Var,-0.0140804850177351
energy,sonnet-3.7 Max Ret,-0.0045341957956529
energy,sonnet-3.7 Max Sharpe,-0.0196354264854813
energy,sonnet-4_weighted_energy,-0.0007727082405698
energy,sonnet-4_equal_energy,0.0123408264723324
energy,sonnet-4 Min Var,-0.0038104779580606
energy,sonnet-4 Max Ret,0.0081040615097517
energy,sonnet-4 Max Sharpe,-0.0081405028148074
energy,opus-4_weighted_energy,-0.0013274503921451
energy,opus-4_equal_energy,0.0123408264723324
energy,opus-4 Min Var,-0.0038104779580607
energy,opus-4 Max Ret,0.0081040615097519
energy,opus-4 Max Sharpe,-0.0081405028148077
energy,dsV3_weighted_energy,-0.0036196673597241
energy,dsV3_equal_energy,0.0018177695117902
energy,dsV3 Min Var,-0.0128123110545377
energy,dsV3 Max Ret,-0.0082826827344115
energy,dsV3 Max Sharpe,-0.0234107911383785
energy,dsR1_weighted_energy,0.0077605083143856
energy,dsR1_equal_energy,0.0123408264723324
energy,dsR1 Min Var,-0.0038104779580606
energy,dsR1 Max Ret,0.0081040615097518
