sector,portfolio,difference
energy,gpt4o_weighted_energy,-0.0028773449539812
energy,gpt4o_equal_energy,-0.0125574876401086
energy,gpt4o Min Var,-0.0427198688738943
energy,gpt4o Max Ret,-0.0098283937678481
energy,gpt4o Max Sharpe,-0.0346784625079223
energy,gpt4.1_weighted_energy,0.0033370461986938
energy,gpt4.1_equal_energy,-0.0101696150159296
energy,gpt4.1 Min Var,-0.0437603261945739
energy,gpt4.1 Max Ret,-0.0035956165739655
energy,gpt4.1 Max Sharpe,-0.0254288723471565
energy,o4-mini_weighted_energy,-0.0009898557055292
energy,o4-mini_equal_energy,-0.0101696150159296
energy,o4-mini Min Var,-0.0437603261945743
energy,o4-mini Max Ret,-0.0035956165739654
energy,o4-mini Max Sharpe,-0.0254288723471568
energy,sonnet-3.7_weighted_energy,-0.0085821675962875
energy,sonnet-3.7_equal_energy,-0.0175018564792367
energy,sonnet-3.7 Min Var,-0.053152814988724
energy,sonnet-3.7 Max Ret,-0.0341103302267014
energy,sonnet-3.7 Max Sharpe,-0.0478006841765544
energy,sonnet-4_weighted_energy,-0.0119907367375324
energy,sonnet-4_equal_energy,-0.0125574876401086
energy,sonnet-4 Min Var,-0.0427198688738943
energy,sonnet-4 Max Ret,-0.0098283937678481
energy,sonnet-4 Max Sharpe,-0.0346784625079223
energy,opus-4_weighted_energy,-0.0071175729624553
energy,opus-4_equal_energy,-0.0125574876401086
energy,opus-4 Min Var,-0.0427198688738943
energy,opus-4 Max Ret,-0.0098283937678481
energy,opus-4 Max Sharpe,-0.0346784625079224
energy,dsV3_weighted_energy,0.0034259309512974
energy,dsV3_equal_energy,-0.013604983246553
energy,dsV3 Min Var,-0.0461723822095561
energy,dsV3 Max Ret,-0.0317252461046295
energy,dsV3 Max Sharpe,-0.0457918549131676
energy,dsR1_weighted_energy,-0.0051849632801325
energy,dsR1_equal_energy,-0.0125574876401086
energy,dsR1 Min Var,-0.0427198688738943
energy,dsR1 Max Ret,-0.0098283937678481
energy,dsR1 Max Sharpe,-0.0346784625079223
energy,gemini_weighted_energy,-0.0002447339844985
energy,gemini_equal_energy,-0.0125574876401086
energy,gemini Min Var,-0.0427198688738943
energy,gemini Max Ret,-0.0098283937678481
energy,gemini Max Sharpe,-0.0346784625079223
energy,grok3_weighted_energy,-0.0053050678319514
energy,grok3_equal_energy,-0.0125574876401087
energy,grok3 Min Var,-0.0427198688738943
energy,grok3 Max Ret,-0.0098283937678481
energy,grok3 Max Sharpe,-0.0346784625079224
energy,grok3-mini_weighted_energy,-0.010013308216653
energy,grok3-mini_equal_energy,-0.0101696150159296
energy,grok3-mini Min Var,-0.0437603261945739
energy,grok3-mini Max Ret,-0.0035956165739655
energy,grok3-mini Max Sharpe,-0.0254288723471565
materials,gpt4o_weighted_materials,-0.0204404588643779
materials,gpt4o_equal_materials,-0.0123654320548759
materials,gpt4o Min Var,-0.0104851832156012
materials,gpt4o Max Ret,-0.0061803385116526
materials,gpt4o Max Sharpe,-0.0042980704640489
materials,gpt4.1_weighted_materials,-0.0219321963818431
materials,gpt4.1_equal_materials,-0.022673400571719
materials,gpt4.1 Min Var,-0.0246141990686147
materials,gpt4.1 Max Ret,-0.0112012157337905
materials,gpt4.1 Max Sharpe,-0.0125594018510172
materials,o4-mini_weighted_materials,-0.0294807167281422
materials,o4-mini_equal_materials,-0.0206151835987698
materials,o4-mini Min Var,-0.0233223027559795
materials,o4-mini Max Ret,-0.0099773519251534
materials,o4-mini Max Sharpe,-0.0110280212579602
materials,sonnet-3.7_weighted_materials,-0.020454457565621
materials,sonnet-3.7_equal_materials,-0.0163701344357882
materials,sonnet-3.7 Min Var,-0.0136318496904321
materials,sonnet-3.7 Max Ret,-0.0074741587614039
materials,sonnet-3.7 Max Sharpe,0.0007963259996118
materials,sonnet-4_weighted_materials,-0.023611435499403
materials,sonnet-4_equal_materials,-0.0224822794671494
materials,sonnet-4 Min Var,-0.0383170345743482
materials,sonnet-4 Max Ret,-0.0110734333981015
materials,sonnet-4 Max Sharpe,-0.0133272218132926
materials,opus-4_weighted_materials,-0.0135536022331439
materials,opus-4_equal_materials,-0.0018886635457205
materials,opus-4 Min Var,-0.0025929775047839
materials,opus-4 Max Ret,0.0011620940781709
materials,opus-4 Max Sharpe,0.0073158085832771
materials,dsV3_weighted_materials,-0.0220514234397194
materials,dsV3_equal_materials,-0.0165842808010755
materials,dsV3 Min Var,-0.0346792228181905
materials,dsV3 Max Ret,-0.0086587837092099
materials,dsV3 Max Sharpe,-0.01779596163281
materials,dsR1_weighted_materials,-0.0302600712320038
materials,dsR1_equal_materials,-0.0174809820843701
materials,dsR1 Min Var,-0.0219448671005533
materials,dsR1 Max Ret,-0.0091524874752019
materials,dsR1 Max Sharpe,-0.0133462629665145
materials,gemini_weighted_materials,-0.0248506094002706
materials,gemini_equal_materials,-0.006522580246936
materials,gemini Min Var,-0.0065046005387079
materials,gemini Max Ret,-0.0016017143022057
materials,gemini Max Sharpe,0.004305495658697
materials,grok3_weighted_materials,-0.0117819696269082
materials,grok3_equal_materials,-0.0112810287902341
materials,grok3 Min Var,-0.0059028362487639
materials,grok3 Max Ret,-0.005494726387568
materials,grok3 Max Sharpe,-0.0046665115408341
materials,grok3-mini_weighted_materials,-0.0162405019823944
materials,grok3-mini_equal_materials,-0.0159808600328744
materials,grok3-mini Min Var,-0.0209868152913915
materials,grok3-mini Max Ret,-0.0082550153915286
materials,grok3-mini Max Sharpe,-0.0120218337353289
industrials,gpt4o_weighted_industrials,0.0136039012040157
industrials,gpt4o_equal_industrials,0.0093095322309626
industrials,gpt4o Min Var,0.0252848389267612
industrials,gpt4o Max Ret,0.0039782503187197
industrials,gpt4o Max Sharpe,0.0009713046596815
industrials,gpt4.1_weighted_industrials,0.0076791135952227
industrials,gpt4.1_equal_industrials,0.0038843396369667
industrials,gpt4.1 Min Var,0.0153528708118719
industrials,gpt4.1 Max Ret,0.0046501337915592
industrials,gpt4.1 Max Sharpe,0.0045886841818637
industrials,o4-mini_weighted_industrials,0.0134937415365805
industrials,o4-mini_equal_industrials,0.0053715600709828
industrials,o4-mini Min Var,0.0335444237080695
industrials,o4-mini Max Ret,-0.0037427036279633
industrials,o4-mini Max Sharpe,-0.0015872788456061
industrials,sonnet-3.7_weighted_industrials,0.0032868300777859
industrials,sonnet-3.7_equal_industrials,0.0018838306308374
industrials,sonnet-3.7 Min Var,0.0280678052412783
industrials,sonnet-3.7 Max Ret,-0.004854190203056
industrials,sonnet-3.7 Max Sharpe,0.0036941873678847
industrials,sonnet-4_weighted_industrials,0.0083743269980951
industrials,sonnet-4_equal_industrials,0.0105326378586011
industrials,sonnet-4 Min Var,0.0343179985606906
industrials,sonnet-4 Max Ret,0.0047067972390923
industrials,sonnet-4 Max Sharpe,0.0047067972390931
industrials,opus-4_weighted_industrials,0.0075322807480453
industrials,opus-4_equal_industrials,0.0067132999603987
industrials,opus-4 Min Var,0.020634570598693
industrials,opus-4 Max Ret,0.0029508892073201
