sector,gpt4o_model_weighted,gpt4o_equally_weighted,gpt4o_minvar,gpt4o_maxret,gpt4o_maxsharpe,gpt4.1_model_weighted,gpt4.1_equally_weighted,gpt4.1_minvar,gpt4.1_maxret,gpt4.1_maxsharpe,o4-mini_model_weighted,o4-mini_equally_weighted,o4-mini_minvar,o4-mini_maxret,o4-mini_maxsharpe,sonnet-3.7_model_weighted,sonnet-3.7_equally_weighted,sonnet-3.7_minvar,sonnet-3.7_maxret,sonnet-3.7_maxsharpe,sonnet-4_model_weighted,sonnet-4_equally_weighted,sonnet-4_minvar,sonnet-4_maxret,sonnet-4_maxsharpe,opus-4_model_weighted,opus-4_equally_weighted,opus-4_minvar,opus-4_maxret,opus-4_maxsharpe,dsV3_model_weighted,dsV3_equally_weighted,dsV3_minvar,dsV3_maxret,dsV3_maxsharpe,dsR1_model_weighted,dsR1_equally_weighted,dsR1_minvar,dsR1_maxret,dsR1_maxsharpe,gemini_model_weighted,gemini_equally_weighted,gemini_minvar,gemini_maxret,gemini_maxsharpe,grok3_model_weighted,grok3_equally_weighted,grok3_minvar,grok3_maxret,grok3_maxsharpe,grok3-mini_model_weighted,grok3-mini_equally_weighted,grok3-mini_minvar,grok3-mini_maxret,grok3-mini_maxsharpe
energy,-0.21116613749642602,-0.23222612885638189,-0.19259300817625838,-0.24795960941751474,-0.20923041506572107,-0.21102578162173838,-0.22466013155509296,-0.1866030371132416,-0.2284834428947184,-0.18906398878249944,-0.217180238492251,-0.22466013155509296,-0.18660303711324172,-0.2284834428947184,-0.18906398878249853,-0.20387272463550174,-0.22914845079699647,-0.18553199150988262,-0.2274101950703083,-0.20125508698958827,-0.19781944883618746,-0.23222612885638189,-0.19259300817625838,-0.24795960941751474,-0.20923041506572107,-0.2070119030368093,-0.23222612885638189,-0.19259300817625838,-0.24795960941751474,-0.2092304150657213,-0.201774631313805,-0.22366966758462012,-0.1859084076088371,-0.22411261492398662,-0.19776497689108605,-0.21665435993154777,-0.23222612885638189,-0.19259300817625838,-0.24795960941751474,-0.20923041506572046,-0.20981363101487963,-0.23222612885638189,-0.19259300817625838,-0.24795960941751474,-0.20923041506572088,-0.21371962102431435,-0.23222612885638189,-0.19259300817625838,-0.24795960941751474,-0.209230415065721,-0.19814939247001784,-0.22466013155509296,-0.1866030371132416,-0.2284834428947184,-0.18906398878249883
materials,-0.2027642361184936,-0.19551606631887117,-0.1699712127405361,-0.2061892670035977,-0.18890805539882005,-0.18293903111566853,-0.18652999742768575,-0.16366313843831604,-0.20655307062353057,-0.1934937161428258,-0.20785775040733354,-0.20695723643406896,-0.17779255780025424,-0.2165923720614576,-0.20321188257935613,-0.18765062399111207,-0.1926764724364887,-0.16864929022600844,-0.1980537299258639,-0.19232366528873807,-0.2106834395491579,-0.22055665450349873,-0.20083212553699767,-0.22668280939187696,-0.21313516291712953,-0.19734200968415244,-0.2088782142385654,-0.1746157666772982,-0.2077654737499801,-0.20280583675566344,-0.2049974225355737,-0.2107885417250996,-0.19502290388771568,-0.21376104391691342,-0.20215149301113622,-0.19535003251072325,-0.1933155969649484,-0.17035385025247235,-0.20419728621784272,-0.18670137520650212,-0.1955470691659758,-0.21054768370031668,-0.17919167394319238,-0.20645407292390267,-0.20244657975579344,-0.20045208574276493,-0.20393956290040086,-0.17587846760234882,-0.21122998078423072,-0.19344997246517406,-0.2196342496136563,-0.21234812627689137,-0.18159650869992347,-0.21553843724793806,-0.19986393719564247
industrials,-0.18209032323876825,-0.18795774606501023,-0.17282520661028955,-0.2145691666577261,-0.21599505314545345,-0.1609847220540005,-0.15826191273241028,-0.11476072863231868,-0.18408757602999057,-0.17251925621028194,-0.18054174081425362,-0.19174874121428864,-0.1679984812538175,-0.21425981646818917,-0.21795282842314287,-0.19692499353099438,-0.19726644406427649,-0.16394971641073966,-0.21200988596906425,-0.19633845176754766,-0.1887195172863195,-0.18357834824878302,-0.1671312623221086,-0.21205825135249257,-0.21205825135249246,-0.1708410649400897,-0.179569189461035,-0.1657551832868157,-0.20458886564488352,-0.1941525829533996,-0.18251153034340276,-0.18685047500038013,-0.16434942931889282,-0.20157460718924314,-0.21090860771799153,-0.1870232773405046,-0.18405044537571594,-0.16820471900934506,-0.20488611628571604,-0.20002586882338172,-0.17085162450420296,-0.16477197106375657,-0.12309274868299908,-0.20624304922345407,-0.15119605601851066,-0.1834426144569557,-0.18357834824878302,-0.16713126232210848,-0.21205825135249257,-0.21205825135249226,-0.16980399733967036,-0.18294127460109186,-0.1583174867025926,-0.2117649952241221,-0.1973086643356035
consumer_discretionary,-0.21180622195685395,-0.1816536286183609,-0.15286420238047546,-0.1876998521594706,-0.20217983729754543,-0.20572685792651865,-0.18057368433488225,-0.143168975785275,-0.23193551976782875,-0.18089028126089024,-0.22038659000915556,-0.18024844294790948,-0.14234722047137396,-0.1868256425454342,-0.18516177169891737,-0.21634372761882653,-0.20098207526694692,-0.1598075425993848,-0.23539037612211122,-0.21659465577591813,-0.22732341475729648,-0.1878788436605183,-0.14886762741410134,-0.21329798797354296,-0.18441890311154116,-0.21501204890186187,-0.16361703555148788,-0.1339816495548548,-0.1769663838024809,-0.17340033110469866,-0.22056402929037452,-0.174371387877472,-0.13727540398560936,-0.2159806896706838,-0.1798780012739917,-0.19911391681690543,-0.1774534515913409,-0.13688451769489027,-0.19439652808443472,-0.17890770356622002,-0.21783963654269276,-0.18967334831979324,-0.15201238197046898,-0.22471486915441935,-0.20971593110296177,-0.21558625582396945,-0.157031775517588,-0.12946556593885464,-0.17304538745568296,-0.17385179699630712,-0.20276838337548123,-0.17580695402490557,-0.1420455227605879,-0.19152807476831377,-0.18086141839794093
consumer_staples,-0.09143851496137222,-0.09605629833322098,-0.09030261179177682,-0.08720447426211042,-0.09391398855730235,-0.08878537988449571,-0.09271269940894934,-0.07895251716167469,-0.08515134167638906,-0.08216606996492788,-0.09458203739985138,-0.09011653878035729,-0.08623240558520584,-0.08062705696924576,-0.08062705696924576,-0.08893200556405424,-0.09429261544252071,-0.0882727340115841,-0.0734218374514841,-0.07650842569419113,-0.08746122968559919,-0.07627115840946068,-0.0718294413817693,-0.08170878353712521,-0.0808549498950599,-0.09665977438860263,-0.09675987125708738,-0.09130517132611167,-0.07529846178429452,-0.08098401259777967,-0.07360155075479917,-0.07588187976470226,-0.08055190966266487,-0.062320875486774244,-0.06414419885357787,-0.08031099387135951,-0.08620213274375646,-0.06907378737824776,-0.06466655311762565,-0.06672712577459408,-0.08521603572781712,-0.0886856881145209,-0.08728139177585006,-0.07999241034003372,-0.08028331543515117,-0.08590631932154806,-0.09691968757513496,-0.0899555557731182,-0.10149875572534776,-0.09662328336004894,-0.08277416627355294,-0.09133846470052255,-0.08606728947194116,-0.08785598647031921,-0.09241144152926066
health_care,-0.1572418225567744,-0.14783618866767825,-0.1576167220776647,-0.14486556139751047,-0.157573706484746,-0.14271939152244792,-0.118518091005667,-0.140630937373263,-0.11666238811679171,-0.11197965580453781,-0.14411390779757,-0.12984749281466396,-0.14486275433096632,-0.11592849496962741,-0.1284009827885791,-0.1202856386466341,-0.10160225301301654,-0.118983666610955,-0.147267973310321,-0.12421580349655709,-0.15526324283866175,-0.13266940157252669,-0.1468800196915183,-0.1595743701726661,-0.15522371413879865,-0.12760995632766606,-0.1353227191900629,-0.13247183936263263,-0.16897060561323413,-0.14528749270462277,-0.16339195348564314,-0.1567757945709172,-0.1632348997126968,-0.1610773140462268,-0.15786945010366568,-0.14633664337277408,-0.12592970015652658,-0.14631486072988184,-0.15895966077886095,-0.13862508750930558,-0.12935471534234902,-0.13344734420004156,-0.13894056101937904,-0.16796815111562008,-0.15750369815139528,-0.14617684351103458,-0.12897701554177748,-0.15044392563882977,-0.11593641844476792,-0.13061263423140443,-0.13540916127578387,-0.13159682378624737,-0.14840091881803952,-0.12947792994005636,-0.12580281395813547
financials,-0.17447560204740054,-0.17890977221621396,-0.1355785578573798,-0.1840049118594869,-0.14798347356569186,-0.16332754830865742,-0.16058236398882456,-0.1235694236581836,-0.1858800634257849,-0.1595788276183329,-0.18589121130212471,-0.17500358163036359,-0.12863124098054793,-0.21748793665680516,-0.1855721272739417,-0.1383528319812626,-0.1433080334570961,-0.10951245311901452,-0.15506714034808172,-0.13097066177198477,-0.15747759274649745,-0.16592610121880536,-0.12969474186068672,-0.21243427052264888,-0.17605070525820415,-0.19067002387430554,-0.20158450916022766,-0.1390741196539117,-0.24828717550943516,-0.19735518081187714,-0.19643620686647748,-0.18964727267952317,-0.1493533452732497,-0.21401547115604183,-0.1883506179164068,-0.1849837462636559,-0.18208119326031863,-0.13942045916812643,-0.19541331826986585,-0.16359006730121564,-0.15436670120099089,-0.1647181542956915,-0.12182851833117604,-0.1976104414851848,-0.16843340746791885,-0.20962438335509406,-0.1937625500581706,-0.1445680270387,-0.22296680628521925,-0.21090061161861726,-0.18237799050992454,-0.1801011894379671,-0.1418469747312843,-0.1937189668408428,-0.1692711483179422
information_technology,-0.25661725390074963,-0.2593809187091914,-0.25023936868824154,-0.2928094269334725,-0.30037867702706095,-0.2676826400112111,-0.26443453638157693,-0.2531637395490677,-0.29964404784529175,-0.30944739122414205,-0.25330589156498423,-0.24704756727072677,-0.23715729397817356,-0.2642393825717462,-0.2667940918137602,-0.27589477385540934,-0.261893075006591,-0.23222293751524375,-0.29592557428668187,-0.2938248151688878,-0.25671184254912927,-0.251825381399634,-0.23919620748124634,-0.2669067203418084,-0.2701815128454793,-0.25395118150933155,-0.25400932569395723,-0.24328897249379278,-0.26458303495890445,-0.2720194413897749,-0.2585331895166921,-0.2559513379313652,-0.2386057235520043,-0.2705906070527338,-0.2711264984783396,-0.2685684511217361,-0.25995284388940587,-0.24202414500166583,-0.29539240050408105,-0.3030154227942238,-0.2755411646060085,-0.26884330831388636,-0.25108897456003926,-0.3036888301645936,-0.3108750905331724,-0.25483456681312866,-0.2568821155949719,-0.24092275560198673,-0.2700230513986341,-0.272380041644627,-0.2669190309869555,-0.25481028919788606,-0.23665897447093506,-0.2832069221014663,-0.26947035460800906
communication_services,-0.15712815597956575,-0.1487199695153733,-0.10313116734937292,-0.17681128837538362,-0.16293811579620956,-0.15453094457742866,-0.14763719647477946,-0.10305002596287807,-0.1762673740976844,-0.16240051680724837,-0.17145217556129785,-0.1458784562007131,-0.1038072258714536,-0.1748950366880359,-0.16100176852511777,-0.16750867732793284,-0.14520673930696718,-0.10499970854732892,-0.1742302834714493,-0.1603430004125868,-0.17401244840702507,-0.1456834046182759,-0.10403893278318849,-0.16165311882525424,-0.16165311882525385,-0.1702823917334846,-0.1456834046182759,-0.1040389327831884,-0.16165311882525424,-0.16165311882525385,-0.17616137133074788,-0.1456834046182759,-0.1040389327831884,-0.16165311882525424,-0.16165311882525385,-0.170271611352104,-0.147374845561305,-0.10266576388089702,-0.16317926822476056,-0.16317926822476006,-0.1838265299523317,-0.14763719647477946,-0.10305002596287807,-0.1762673740976844,-0.16240051680724835,-0.1636531934133406,-0.14763719647477946,-0.103050025962878,-0.1762673740976844,-0.16240051680724837,-0.16788293249278816,-0.145964745477362,-0.10289178241147934,-0.17458466609299028,-0.16068853040786396
utilities,-0.07913000285440566,-0.07642621487402675,-0.07574855136838951,-0.06836020265043466,-0.06945999513111918,-0.07740379071831906,-0.07354261672975893,-0.07460015668194026,-0.06648862859637733,-0.06743443710738944,-0.07778244935731712,-0.07394320068970844,-0.07619474336850078,-0.06996239705550081,-0.06713834000880207,-0.07985575826655397,-0.07491594568095253,-0.08266365341540838,-0.09962997353364499,-0.0921091940228208,-0.10626965345799037,-0.07295747556777606,-0.08476355170173723,-0.1360428631398453,-0.1406951088018568,-0.09507692159532338,-0.07986927835666312,-0.09284600822611967,-0.14144069785027794,-0.14144069785027719,-0.07732871512837357,-0.07493354865953769,-0.07527246603232145,-0.06777785392752964,-0.06781308077898567,-0.07956226444049541,-0.07558938073857861,-0.07675419858807565,-0.06772747019567797,-0.0685043722528409,-0.08356055977956253,-0.07507752665875962,-0.09994153701526141,-0.09073898398464965,-0.10205600702965247,-0.07805174617936791,-0.07626297858775437,-0.07596014547098968,-0.06832206963094913,-0.06939774498945842,-0.07459203606994225,-0.07457507579082505,-0.0765317645411573,-0.06809456700519813,-0.0716426458259451
real_estate,-0.14519817386282857,-0.14559018875332913,-0.1328602391579758,-0.1499015097871656,-0.1496311975450523,-0.14446183241234659,-0.14707615202298013,-0.13144030857888314,-0.15849966252392114,-0.1513860478947644,-0.13213766402991028,-0.13982483182705585,-0.12701611306605337,-0.14911757924649263,-0.1555881141609087,-0.14073881239719446,-0.14201917980056664,-0.12834688250211154,-0.14606538900488797,-0.14461618661581085,-0.13920846973952983,-0.14299944779783244,-0.12894258030494127,-0.14666429159901917,-0.14410117889591542,-0.14889704650468066,-0.13997291084359628,-0.12709868062884036,-0.14483961846534474,-0.14465207617051812,-0.1433600553206611,-0.13884729018680597,-0.12642039377702566,-0.14384018996736442,-0.1435521000179829,-0.1348992371769039,-0.14234584453478877,-0.12853657024595572,-0.1490687986182655,-0.1472912979952612,-0.1372184241925764,-0.14145201693352819,-0.12799883046646193,-0.14540939269463482,-0.15055069798610932,-0.1562993339638416,-0.15378141837282036,-0.13833723335301376,-0.15749594620601406,-0.1639844408896911,-0.14118360335768124,-0.1505406074898542,-0.13351817025614532,-0.15317740056214088,-0.15104342651000946
