sector,gpt4o_model_weighted,gpt4o_equally_weighted,gpt4o_minvar,gpt4o_maxret,gpt4o_maxsharpe,gpt4.1_model_weighted,gpt4.1_equally_weighted,gpt4.1_minvar,gpt4.1_maxret,gpt4.1_maxsharpe,o4-mini_model_weighted,o4-mini_equally_weighted,o4-mini_minvar,o4-mini_maxret,o4-mini_maxsharpe,sonnet-3.7_model_weighted,sonnet-3.7_equally_weighted,sonnet-3.7_minvar,sonnet-3.7_maxret,sonnet-3.7_maxsharpe,sonnet-4_model_weighted,sonnet-4_equally_weighted,sonnet-4_minvar,sonnet-4_maxret,sonnet-4_maxsharpe,opus-4_model_weighted,opus-4_equally_weighted,opus-4_minvar,opus-4_maxret,opus-4_maxsharpe,dsV3_model_weighted,dsV3_equally_weighted,dsV3_minvar,dsV3_maxret,dsV3_maxsharpe,dsR1_model_weighted,dsR1_equally_weighted,dsR1_minvar,dsR1_maxret,dsR1_maxsharpe,gemini_model_weighted,gemini_equally_weighted,gemini_minvar,gemini_maxret,gemini_maxsharpe,grok3_model_weighted,grok3_equally_weighted,grok3_minvar,grok3_maxret,grok3_maxsharpe,grok3-mini_model_weighted,grok3-mini_equally_weighted,grok3-mini_minvar,grok3-mini_maxret,grok3-mini_maxsharpe
energy,-0.2111661444465878,-0.23222613936127126,-0.1925930194125776,-0.24795961451235993,-0.20923042590573554,-0.2110257891103134,-0.2246601390739903,-0.18660304475059866,-0.2284834400289956,-0.1890639917864941,-0.21718024389175583,-0.2246601390739903,-0.18660304475059866,-0.2284834400289956,-0.18906399178649394,-0.2038727246355018,-0.22914845578591972,-0.18553199150988267,-0.22741019183435024,-0.20125508350450497,-0.19781944883618746,-0.23222613936127126,-0.1925930194125776,-0.24795961451235993,-0.20923042590573554,-0.2070119079601177,-0.23222613936127126,-0.1925930194125776,-0.24795961451235993,-0.20923042590573515,-0.20177463622117559,-0.22366967512068198,-0.18590841515632459,-0.22411261314187284,-0.1977649749574501,-0.21665436853021353,-0.23222613936127126,-0.1925930194125776,-0.24795961451235993,-0.20923042590573504,-0.209813638375205,-0.23222613936127126,-0.1925930194125776,-0.24795961451235993,-0.20923042590573485,-0.21371962886936208,-0.23222613936127126,-0.1925930194125776,-0.24795961451235993,-0.20923042590573493,-0.19814939247001792,-0.2246601390739903,-0.18660304475059866,-0.2284834400289956,-0.1890639917864941
materials,-0.2027642202204701,-0.1955160506362805,-0.16997119577426975,-0.20618924671788705,-0.18890803948417523,-0.18293901724704137,-0.18652999412469276,-0.16366313593357043,-0.20655306288739453,-0.19349370711416175,-0.20785774882381342,-0.20695723084934242,-0.1777925473101248,-0.21659236424225314,-0.20321187330969276,-0.18765061485954523,-0.19267646351337137,-0.16864927742011107,-0.19805371945174938,-0.19232365539594487,-0.2106834305464894,-0.22055665131691035,-0.2008321231650684,-0.22668280170672342,-0.21313515362406227,-0.19734200104854088,-0.20887820882359737,-0.17461575599392035,-0.20776546536777807,-0.20280582860183924,-0.20499740921778667,-0.21078853631793953,-0.1950229002254224,-0.21376102586018264,-0.20215148162135374,-0.19535001973893,-0.1933155876013039,-0.17035384579361965,-0.2041972678267255,-0.18670135980342015,-0.19554706022380547,-0.21054767841221103,-0.17919166344297757,-0.20645406484940643,-0.20244657133183117,-0.20045207779565521,-0.20393955424909263,-0.17587845505315855,-0.21122996476846562,-0.19344996086000824,-0.21963423834397644,-0.2123481144005233,-0.18159649398683486,-0.2155384191057883,-0.19986392332044015
industrials,-0.18209031408890203,-0.18795773454341932,-0.17282519677657357,-0.21456916002316037,-0.21599504647301915,-0.16080278621260963,-0.15802130849697438,-0.11428379388755631,-0.1839475840097227,-0.17209636924337132,-0.18054173412390886,-0.1917487340665699,-0.16799846802553245,-0.21425981040491085,-0.21795282149862363,-0.19691665644934436,-0.19725338700068598,-0.16394158786568638,-0.21200220086860364,-0.196330611058041,-0.1887195101398104,-0.18357834032244166,-0.16713124075449085,-0.21205824698868447,-0.21205824698868453,-0.17084106115882844,-0.17956918364952065,-0.16575518032190792,-0.20458886230554457,-0.1941525792185999,-0.18251152587090086,-0.18685046998070143,-0.16434942671872924,-0.20157460434151198,-0.2109086050764141,-0.18702327287657386,-0.1840504401266864,-0.16820471612194754,-0.20488611330898573,-0.20002586585627163,-0.17085162380626523,-0.16477197106273583,-0.12309275168260095,-0.2062430492359545,-0.15119606257155518,-0.1834426071666077,-0.18357834032244166,-0.16713124075449085,-0.21205824698868447,-0.21205824698868458,-0.16967781462132334,-0.18270720680597632,-0.15771888595443964,-0.21162956588926982,-0.19670994541732967
consumer_discretionary,-0.21180622203235305,-0.1816536297493574,-0.1528642032896234,-0.1876998527809148,-0.20217983794715874,-0.2057268558477996,-0.18057368126660564,-0.14316897634533976,-0.2319355210673306,-0.18089027945679614,-0.22038658772809724,-0.18024843818278774,-0.14234722323916524,-0.18682563971274008,-0.18516176888255623,-0.21634372651203898,-0.20098207427631942,-0.15980754273432207,-0.23539037561875809,-0.21659465524415966,-0.22732341284408025,-0.1878788389910731,-0.1488676274394659,-0.2132979852533301,-0.1844189002607723,-0.21501204669329213,-0.16361703081239184,-0.13398165007602975,-0.17696638100632506,-0.1734003312587336,-0.22056403012492132,-0.17437138956500592,-0.13727540543021363,-0.2159806937167216,-0.17987800234674822,-0.19911391747086596,-0.1774534532635053,-0.13688451913936484,-0.1943965322115733,-0.1789077046098417,-0.2178396345476569,-0.1896733450172226,-0.15201238259714703,-0.22471487032856638,-0.20971592923952428,-0.21558625372009568,-0.1570317702389718,-0.12946556601268353,-0.17304538431579009,-0.1738517967732521,-0.20276837952145682,-0.17580694846918632,-0.14204552167142465,-0.19152807150309145,-0.18086141503789097
consumer_staples,-0.09143851741442958,-0.09605630377368124,-0.09030260995671371,-0.08720446877287519,-0.09391398278176788,-0.08878537037306301,-0.09271270859682501,-0.07895252296666035,-0.08515134416311379,-0.08216607246541315,-0.09458202764445492,-0.09011654007013048,-0.08623240642308039,-0.08062706367872993,-0.08062706367872993,-0.0889320097435187,-0.09429262202422223,-0.08827273806576359,-0.07342183938512316,-0.07650842895153269,-0.08746123566580541,-0.09020354147405002,-0.07182943367645198,-0.08170878613089165,-0.08085495248513226,-0.09665977916264838,-0.09675987669656787,-0.0913051688649567,-0.07529846625544136,-0.08098401574364546,-0.0736015523718488,-0.08454583746314898,-0.08917986412705943,-0.06232087476661227,-0.06414419872315014,-0.08031098386767235,-0.09627338258186813,-0.06907378112664433,-0.06466655576738643,-0.06672712634087528,-0.08521603952970765,-0.08868569532654205,-0.08728139617779236,-0.07999241799157158,-0.08028332286854042,-0.0859063262114408,-0.09691969302282198,-0.08995555333993165,-0.10149876008089444,-0.09662328658037121,-0.0827741696286238,-0.09133846901587309,-0.08606728641472454,-0.08785598355888846,-0.09241144333840555
health_care,-0.15724181765769496,-0.14783618503373364,-0.15761672404229612,-0.14486556012237733,-0.15757370517201844,-0.14271939625922317,-0.11851809607948076,-0.14063093926139042,-0.11666238997563166,-0.11197965767944944,-0.14411390196672152,-0.12984748827528578,-0.1448627515593109,-0.11592848609463122,-0.12840098213710152,-0.12028564023566958,-0.10160225174609862,-0.11898366434215366,-0.14726797414499407,-0.12421580275697558,-0.1552632349378211,-0.13266939814623926,-0.14688001765432532,-0.15957437094628918,-0.155223714910675,-0.12760995996477084,-0.1353227219558649,-0.13247183670907695,-0.16897060807245373,-0.14528749377604103,-0.16339195712425605,-0.15677579036871692,-0.16323489698299987,-0.16107731574626227,-0.157869451810766,-0.14633663728547264,-0.12592970516228083,-0.14631485777004394,-0.15895966418787205,-0.13862508933444662,-0.12935471896214495,-0.13344734789002477,-0.13894055885505505,-0.1679681532171394,-0.1575037002920298,-0.1461768391292527,-0.12897701248101479,-0.15044392388124495,-0.11593640696466671,-0.130612631070853,-0.13540916227961233,-0.13159682055919567,-0.14840091922276663,-0.12947792941880254,-0.12580281343728553
financials,-0.17447561074244675,-0.17890977679630882,-0.1355785675398079,-0.1840049188404668,-0.14798348313412332,-0.16332754501320434,-0.16058236111304822,-0.12356943308332138,-0.18588005826319037,-0.15957882224755027,-0.18589120990059937,-0.17500358856714943,-0.1286312455224311,-0.21748793336089367,-0.18557213111763793,-0.13835284135061798,-0.14330803919518825,-0.10951246193485431,-0.1550671198451768,-0.13097067025376818,-0.1574775919448431,-0.16592610023115956,-0.12969474636359427,-0.21243426716871663,-0.17605070446834753,-0.19067002291248197,-0.2015845072167677,-0.1390741221130888,-0.2482871666502058,-0.19735517936800562,-0.19643621200175784,-0.18964727910895468,-0.14935334747126786,-0.21401547462481416,-0.18835062156044446,-0.18498374870413956,-0.1820811948757281,-0.13942046964253343,-0.19541331338151277,-0.16359006397565357,-0.15436671011816966,-0.16471815992927347,-0.12182852832722288,-0.19761044850151716,-0.1684334098445846,-0.20962438148769946,-0.1937625563178298,-0.14456803108241206,-0.22296680932032967,-0.21090061484861614,-0.1823779946380037,-0.18010119549522924,-0.14184698330767082,-0.1937189747888373,-0.16927115803206091
information_technology,-0.2566172522350036,-0.25938091970475974,-0.2502393626562111,-0.2928094246666531,-0.3003786724427964,-0.26768264022336175,-0.26443453874914635,-0.25316374474332665,-0.2996440485716375,-0.3094473916528839,-0.2533058947766496,-0.24704757171037453,-0.23715728775003556,-0.26423938562627247,-0.26679409108957647,-0.27589477347498526,-0.26189307368971737,-0.23222293214573883,-0.2959255733766503,-0.29382481404270056,-0.2567118398857701,-0.25182537633557006,-0.23919620026856261,-0.26690672420231365,-0.27018151289152254,-0.25395117790861604,-0.2540093288235302,-0.24328897755966764,-0.2645830371766462,-0.272019439885355,-0.25853319799198604,-0.25595133982113555,-0.23860572513369954,-0.2705906078875099,-0.27112649622838747,-0.26856845198866686,-0.2599528497218615,-0.24202415417942416,-0.29539240449021925,-0.3030154217052457,-0.27554116686440216,-0.26884330591711314,-0.25108896965726624,-0.30368882817136705,-0.3108750863765475,-0.2548345757981441,-0.25688212002133765,-0.24092275012774866,-0.27002305446017527,-0.27238004095184437,-0.26691902904490283,-0.25481028533593886,-0.23665896782108367,-0.28320691732038095,-0.2694703505970096
communication_services,-0.15712815047261225,-0.14871995868390453,-0.10313114559759429,-0.17681128331084475,-0.16293811088300725,-0.1545309319164695,-0.1476371856297206,-0.10305000419956567,-0.1762673672076333,-0.16240051002467967,-0.17145216851222186,-0.1458784453219382,-0.10380720442971632,-0.17489502977949312,-0.16100176172709277,-0.16750867210464862,-0.14520672851533037,-0.10499968722965114,-0.17423027661844392,-0.16034299364574361,-0.1740124434358603,-0.14568339377080905,-0.10403891176665138,-0.16165311188084944,-0.16165311188084977,-0.1702823868086625,-0.14568339377080905,-0.10403891176665138,-0.16165311188084944,-0.16165311188084974,-0.17616136639603514,-0.14568339377080905,-0.10403891176665138,-0.16165311188084944,-0.16165311188084974,-0.17027160582734585,-0.14737483473809057,-0.1026657425030521,-0.16317926129662433,-0.16317926129662455,-0.18382652442320777,-0.1476371856297206,-0.10305000419956567,-0.1762673672076333,-0.16240051002467967,-0.16365318560160919,-0.1476371856297206,-0.10305000419956567,-0.1762673672076333,-0.16240051002467987,-0.1678829289541409,-0.14596473661134537,-0.10289176180396466,-0.1745846606918787,-0.1606885254779748
utilities,-0.07913000345839132,-0.07642621536495435,-0.07574855165594942,-0.0683602023517362,-0.06945999483456276,-0.07740379128303729,-0.07354261720645819,-0.07460015696420316,-0.06648862889010666,-0.06743443740269092,-0.07778244989054388,-0.07394320116099379,-0.07619474365030024,-0.06996239830057434,-0.06713834029420387,-0.07985575912141062,-0.0749159451975996,-0.08266365248315778,-0.09962997479808984,-0.09210919534688282,-0.10626965581949854,-0.07295747508518355,-0.08476355198482553,-0.1360428607402018,-0.1406951162468501,-0.0950769254835078,-0.07986927787076231,-0.09284601154294483,-0.14144070817625085,-0.14144070817625085,-0.07732871596685954,-0.07493355013676811,-0.07527246691516214,-0.06777785482267158,-0.0678130816698723,-0.0795622650375537,-0.0755893812306026,-0.07675419888386796,-0.0677274704949371,-0.06850437255390412,-0.08356056606197439,-0.07507752617349324,-0.09994154134873043,-0.09073898250935064,-0.1020560157985284,-0.078051746179368,-0.0762629785877543,-0.07596014547098964,-0.06832206963094911,-0.06939774498945832,-0.0745920364289874,-0.07457507609531107,-0.07653176471911495,-0.06809456579836343,-0.07164265257367203
