sector,gpt4o_model_weighted,gpt4o_equally_weighted,gpt4o_minvar,gpt4o_maxret,gpt4o_maxsharpe,gpt4.1_model_weighted,gpt4.1_equally_weighted,gpt4.1_minvar,gpt4.1_maxret,gpt4.1_maxsharpe,o4-mini_model_weighted,o4-mini_equally_weighted,o4-mini_minvar,o4-mini_maxret,o4-mini_maxsharpe,sonnet-3.7_model_weighted,sonnet-3.7_equally_weighted,sonnet-3.7_minvar,sonnet-3.7_maxret,sonnet-3.7_maxsharpe,sonnet-4_model_weighted,sonnet-4_equally_weighted,sonnet-4_minvar,sonnet-4_maxret,sonnet-4_maxsharpe,opus-4_model_weighted,opus-4_equally_weighted,opus-4_minvar,opus-4_maxret,opus-4_maxsharpe,dsV3_model_weighted,dsV3_equally_weighted,dsV3_minvar,dsV3_maxret,dsV3_maxsharpe,dsR1_model_weighted,dsR1_equally_weighted,dsR1_minvar,dsR1_maxret,dsR1_maxsharpe,gemini_model_weighted,gemini_equally_weighted,gemini_minvar,gemini_maxret,gemini_maxsharpe,grok3_model_weighted,grok3_equally_weighted,grok3_minvar,grok3_maxret,grok3_maxsharpe,grok3-mini_model_weighted,grok3-mini_equally_weighted,grok3-mini_minvar,grok3-mini_maxret,grok3-mini_maxsharpe
energy,-0.1435527453665164,-0.14545442048899385,-0.13359738291450454,-0.16036747861249973,-0.14605963274730316,-0.14286503965736339,-0.14077177638232027,-0.12904827376290215,-0.14835913575792278,-0.13575654405350404,-0.14111901507130023,-0.14077177638232027,-0.1290482737629021,-0.14835913575792278,-0.13575654405350387,-0.14712795653801045,-0.1419282019820062,-0.12561464029783903,-0.148831633460532,-0.1382510680560019,-0.14382661797766333,-0.14545442048899385,-0.13359738291450454,-0.1603674786124998,-0.14605963274730316,-0.14736944128299365,-0.14545442048899385,-0.13359738291450454,-0.16036747861249973,-0.14605963274730296,-0.14297901991781348,-0.14085108186466772,-0.12903144565140257,-0.14819014232352484,-0.1373571005362451,-0.14464524644434754,-0.14545442048899385,-0.13359738291450454,-0.16036747861249973,-0.146059632747303,-0.14603904852654198,-0.14545442048899385,-0.13359738291450454,-0.16036747861249973,-0.14605963274730316,-0.1434606083284008,-0.14545442048899385,-0.13359738291450454,-0.1603674786124998,-0.14605963274730316,-0.13969096699618389,-0.14077177638232027,-0.12904827376290207,-0.14835913575792278,-0.13575654405350404
materials,-0.13309808381860563,-0.1305590645262073,-0.15065565657919763,-0.15738824090628634,-0.1508567511275595,-0.1258199232755207,-0.11399580412377812,-0.12869351659863518,-0.13241403955472655,-0.13020121382275943,-0.11323683136744174,-0.11454431155191014,-0.12978629742744802,-0.1337088332270088,-0.1325176283424281,-0.13251434510943527,-0.11744967493991022,-0.14121039441742408,-0.13597711499525603,-0.15156715532946008,-0.12457108760328034,-0.11416017187543011,-0.11391682723224275,-0.13184155516727727,-0.13363415877801857,-0.13767172731725336,-0.1391967384946182,-0.15954049423516475,-0.1488462714903883,-0.16074103309202045,-0.12945150361016713,-0.12253516547801821,-0.11770015374257055,-0.15531783583160585,-0.1340394443359532,-0.12316438293849276,-0.12635622333945068,-0.13725057208113223,-0.15722806240440268,-0.1376288299388374,-0.12878770442195656,-0.132852683547169,-0.15316432708979136,-0.14510167208986938,-0.1564553698643547,-0.13484962316338728,-0.12895628576359217,-0.1535610455726621,-0.15935509035442,-0.14785028292292388,-0.1342039592210916,-0.13065431633890703,-0.13714021014198602,-0.16247397038608022,-0.14364216311791886
industrials,-0.07033243318864717,-0.07418076446528535,-0.07592143609966828,-0.08611986121853035,-0.08532405238622683,-0.09200169409890925,-0.09464184185672529,-0.10124109574579895,-0.09998082439346061,-0.10953686511891407,-0.07210007707378119,-0.0703017014512775,-0.07090382676539435,-0.08144186072560859,-0.07999542560964613,-0.07726623906494993,-0.079768377414882,-0.07884640565555295,-0.08714410150685284,-0.08728838123843223,-0.07777659934680296,-0.07239730747110416,-0.07520830099780695,-0.08534259983540485,-0.08534259983540513,-0.08997340008904141,-0.08461229268494323,-0.0925937490787582,-0.09409259652594754,-0.09759989502878028,-0.07626506694775467,-0.07474562188630945,-0.07734980045192512,-0.08698605419018253,-0.08828920293842145,-0.09413769803620224,-0.09045993348131155,-0.0959956687604512,-0.09919643953013,-0.10395237129994102,-0.07964349935419417,-0.08306416979078103,-0.08532637433593356,-0.09587136972482112,-0.09213573987292302,-0.07353753484341356,-0.07239730747110416,-0.07520830099780695,-0.08534259983540485,-0.08534259983540508,-0.06357185957594015,-0.07007088112439044,-0.07782310310304753,-0.0849793721431927,-0.08712536179185257
consumer_discretionary,-0.041641759086955374,-0.04527756291890377,-0.04179665640560514,-0.05070848608062254,-0.04546524653387366,-0.050694316857642134,-0.05883623210621236,-0.05279475673538367,-0.06565473329725309,-0.05281819882339421,-0.042785825302338806,-0.04731229774554847,-0.04691981857867375,-0.05030163594761948,-0.05013809172864932,-0.045935375344226786,-0.04690690696171899,-0.0441596998574874,-0.04861077099483969,-0.04704476674555757,-0.04695030772048191,-0.046868388725202347,-0.043552289481280135,-0.0444548154251206,-0.04742291060836452,-0.04588023237570963,-0.04787120473104312,-0.04728135792342641,-0.04843086268376922,-0.04734166856924257,-0.04758226266035355,-0.053417152836861936,-0.05195745649780162,-0.06283554921937667,-0.05261019614602727,-0.049465982861567614,-0.0570187399422612,-0.05296271311170279,-0.060281440973610906,-0.051110332596049086,-0.04811629577064937,-0.058000202773054614,-0.051045870138522804,-0.0635476691810816,-0.05629834462962672,-0.03959190719576087,-0.0450503390848282,-0.04247924769786956,-0.043630993032461415,-0.04380239601347963,-0.048589827498209816,-0.05538855755403119,-0.04887508514075837,-0.053286702228147076,-0.05337256362672686
consumer_staples,-0.05800537304851915,-0.0680250877755246,-0.05155908445860683,-0.0565888240886122,-0.05457286577950078,-0.05479994730922955,-0.06044065192086423,-0.042264507819854795,-0.039505858983274425,-0.039965127071989265,-0.062409967011704606,-0.0550682849192339,-0.049202633787759166,-0.044435471119126754,-0.044435471119126754,-0.05483620652352828,-0.06467516311905633,-0.05703013144246695,-0.03892576479992055,-0.038925764799920534,-0.04831989580736602,-0.05031346086797513,-0.04875078587998689,-0.04126652299260879,-0.04325502663209177,-0.05232302006866053,-0.0610478116877761,-0.05708161180836778,-0.038042416002772625,-0.04060853966794404,-0.06823068355736328,-0.07261305786000279,-0.06967361904809878,-0.059942672198606925,-0.0586979878471978,-0.052932402471632174,-0.05272294519138832,-0.0445640808788015,-0.04390762410759408,-0.04291092436975589,-0.05060864979321023,-0.046125464359676314,-0.0425969279993547,-0.045064174804461274,-0.04329741988091342,-0.05534745525345539,-0.06064711180868696,-0.05465834431188835,-0.052268616625427866,-0.04709098858759752,-0.050296698804817165,-0.052980058404474784,-0.051484301116147095,-0.052522434805093623,-0.05155663534284585
health_care,-0.13948706304400893,-0.1335464277812459,-0.1095299337846226,-0.19077241414661242,-0.16547632006119187,-0.11111270623133047,-0.08438162525400927,-0.0779924172047383,-0.09855321675636917,-0.09855321675636981,-0.11157762325837237,-0.11316454684291179,-0.09776919404931342,-0.12248394392246038,-0.13684714571923878,-0.10733488864565092,-0.10166634437283187,-0.08073391246043328,-0.12291621891437088,-0.14413032065360573,-0.1343975686389007,-0.13354222705017912,-0.1067059963458659,-0.17078423981164467,-0.16428431471350868,-0.11939835730112075,-0.10932605547950584,-0.09000182969066524,-0.11986919338597803,-0.14277590127963571,-0.13701882997789208,-0.12858129527730594,-0.10149300383704846,-0.17161127530094353,-0.16150138933571145,-0.11634237929153196,-0.09938124556970374,-0.08503305365102827,-0.1146745371678021,-0.13626369546358685,-0.103410840734348,-0.10519217158853225,-0.08741486388743444,-0.15805054785358866,-0.14621880945453114,-0.12600509804196564,-0.12335222282440879,-0.10038590424370085,-0.1585356539616934,-0.15333675286151216,-0.11078863215819523,-0.09219162860379787,-0.08387572630670456,-0.10277848940076921,-0.10277848940076881
financials,-0.06282638744711444,-0.071933132551347,-0.07301866531340527,-0.06828953101283432,-0.07486212024933352,-0.06548494418178778,-0.07093142514624375,-0.06842037707484447,-0.07553840975281377,-0.07712758611474886,-0.07513985055712018,-0.07901703969209994,-0.0749996009593743,-0.0791767637729873,-0.07375774042229943,-0.06519238666584114,-0.07187801172669175,-0.06756257069691605,-0.08094628203957784,-0.08205038608278535,-0.06426961296418866,-0.07489522044302632,-0.06160802794847114,-0.07642702785345577,-0.06849732477259472,-0.053250178375899807,-0.06606024375783304,-0.05415224297176828,-0.07871590470201878,-0.06712139497244024,-0.0628542585310739,-0.06937731096964356,-0.06317482399972582,-0.06912565497324372,-0.07004292709882523,-0.07459813849408081,-0.07897435133794929,-0.08289729950664063,-0.07922207597891173,-0.08344388860478251,-0.06099032674461936,-0.0700848294160686,-0.06709919794944394,-0.07835744600031745,-0.07964985818161827,-0.07559582538367926,-0.0768248225390277,-0.07076322160527136,-0.06828137376489911,-0.06836299194591573,-0.06701365616051919,-0.07204158584505994,-0.06780785571261135,-0.0775060826956938,-0.07935918326377847
information_technology,-0.046530829893958826,-0.05371780228737511,-0.05359682656166699,-0.06178498408529997,-0.05327132318904791,-0.0454039619219344,-0.04979567980073443,-0.05279767348952268,-0.06084647007412122,-0.04985112871122257,-0.046192605475329884,-0.05018357853406533,-0.05599487251240634,-0.05900090018493191,-0.04875082216477255,-0.048038672239960487,-0.05156161290237106,-0.04694087572182326,-0.0912002234659912,-0.051603206268907936,-0.04784122386815421,-0.05557217306171878,-0.059758663646205364,-0.05869311800142234,-0.049934014313782076,-0.054344202636712816,-0.06708758985195408,-0.049262437746303754,-0.117702762426358,-0.058981974967877056,-0.04646688355726882,-0.05702157090449367,-0.056392905406268755,-0.06142887782730755,-0.05258235770806462,-0.05183679397217791,-0.05817675901313854,-0.0574395084051704,-0.061995761470248135,-0.054254329435044414,-0.05472682129980859,-0.059853837021516386,-0.04813954094297983,-0.06687766811257895,-0.056082645624544,-0.046239424648026134,-0.05489607520512167,-0.061393995971872686,-0.05820358840294422,-0.0486652265586585,-0.054301830146649806,-0.0673996826892152,-0.06286756328166025,-0.07258805332942964,-0.05180371502172883
communication_services,-0.04456353856738133,-0.043100574778976795,-0.058687588251677934,-0.037485769031033615,-0.04197992903422421,-0.04537615160480783,-0.04760867374683013,-0.062012749381965,-0.039846416894391654,-0.043858614492769184,-0.040608754432730335,-0.043833353176193086,-0.058278350646364566,-0.037206758000584456,-0.04178484154567984,-0.04475244705718082,-0.04465514941007514,-0.059240906925386354,-0.037836341218098084,-0.042401986353589376,-0.04562601145587287,-0.04981254962668194,-0.06365449986630094,-0.0425147655038237,-0.04251476550382409,-0.046531739272617285,-0.04981254962668194,-0.06365449986630095,-0.0425147655038237,-0.04251476550382409,-0.044582369015373595,-0.04981254962668194,-0.06365449986630094,-0.0425147655038237,-0.04251476550382409,-0.04537056903959736,-0.0543470955085492,-0.06722803764927623,-0.04447828947079796,-0.04447828947079834,-0.043364313826275126,-0.04760867374683013,-0.062012749381965,-0.039846416894391654,-0.043858614492768996,-0.043422572436961716,-0.04760867374683013,-0.062012749381965,-0.039846416894391654,-0.043858614492768816,-0.045512719244014226,-0.04986796469351113,-0.060484695211137,-0.03962931678957507,-0.04419870817140364
utilities,-0.09253354795094557,-0.08750696486193732,-0.09446459904497666,-0.1218499538841112,-0.12184995388411142,-0.09265899541300837,-0.09097926176165326,-0.09658651260161255,-0.09322625403583139,-0.09514476466928873,-0.09439702678577036,-0.0912429385333253,-0.09441020827753582,-0.09282541030814133,-0.09538576186971644,-0.09407906779487904,-0.09153598428840415,-0.10022291286733818,-0.0939891144696992,-0.09684606145945299,-0.10118877535908745,-0.09300520769645766,-0.10177333854888575,-0.10686811575850623,-0.10804779506856027,-0.09752534206076385,-0.09657119822488443,-0.10288689654988026,-0.10871927941973183,-0.10968754906550426,-0.09401649765445215,-0.09189517573025019,-0.0971011944247091,-0.09721238165066987,-0.09721238165066987,-0.09103481423520765,-0.08723137045978999,-0.08954441982005863,-0.09042334915045375,-0.0929086232886994,-0.09313467927176408,-0.08977363682119882,-0.09404633257634375,-0.096673182941369,-0.09667318294136891,-0.09119411844692565,-0.08674630190258681,-0.09405220016212129,-0.12048913413414068,-0.12048913413414067,-0.09191643725401095,-0.090647109262389,-0.09401608474432165,-0.09617983217943507,-0.09617983217943507
