model,sector,time split,volatility
gpt4o,energy,Oct,0.03855
gpt4.1,energy,Oct,0.03859
o4-mini,energy,Oct,0.0377
sonnet-3.7,energy,Oct,0.04059
sonnet-4,energy,Oct,0.03961
opus-4,energy,Oct,0.0404
dsV3,energy,Oct,0.03925
dsR1,energy,Oct,0.03849
gemini,energy,Oct,0.03998
grok3,energy,Oct,0.03897
grok3-mini,energy,Oct,0.03793
gpt4o,materials,Oct,0.03629
gpt4.1,materials,Oct,0.03359
o4-mini,materials,Oct,0.02906
sonnet-3.7,materials,Oct,0.03482
sonnet-4,materials,Oct,0.03362
opus-4,materials,Oct,0.03596
dsV3,materials,Oct,0.03501
dsR1,materials,Oct,0.03228
gemini,materials,Oct,0.03384
grok3,materials,Oct,0.03567
grok3-mini,materials,Oct,0.03667
gpt4o,industrials,Oct,0.01844
gpt4.1,industrials,Oct,0.026
o4-mini,industrials,Oct,0.01988
sonnet-3.7,industrials,Oct,0.02347
sonnet-4,industrials,Oct,0.02157
opus-4,industrials,Oct,0.02426
dsV3,industrials,Oct,0.02459
dsR1,industrials,Oct,0.02867
gemini,industrials,Oct,0.02295
grok3,industrials,Oct,0.01958
grok3-mini,industrials,Oct,0.01703
gpt4o,consumer_discretionary,Oct,0.05371
gpt4.1,consumer_discretionary,Oct,0.04598
o4-mini,consumer_discretionary,Oct,0.06432
sonnet-3.7,consumer_discretionary,Oct,0.06617
sonnet-4,consumer_discretionary,Oct,0.0674
opus-4,consumer_discretionary,Oct,0.06389
dsV3,consumer_discretionary,Oct,0.05606
dsR1,consumer_discretionary,Oct,0.05211
gemini,consumer_discretionary,Oct,0.05821
grok3,consumer_discretionary,Oct,0.06477
grok3-mini,consumer_discretionary,Oct,0.05037
gpt4o,consumer_staples,Oct,0.01714
gpt4.1,consumer_staples,Oct,0.01662
o4-mini,consumer_staples,Oct,0.0188
sonnet-3.7,consumer_staples,Oct,0.01675
sonnet-4,consumer_staples,Oct,0.01416
opus-4,consumer_staples,Oct,0.01672
dsV3,consumer_staples,Oct,0.01751
dsR1,consumer_staples,Oct,0.01476
gemini,consumer_staples,Oct,0.01491
grok3,consumer_staples,Oct,0.01646
grok3-mini,consumer_staples,Oct,0.0143
gpt4o,health_care,Oct,0.0419
gpt4.1,health_care,Oct,0.02877
o4-mini,health_care,Oct,0.02932
sonnet-3.7,health_care,Oct,0.02698
sonnet-4,health_care,Oct,0.03653
opus-4,health_care,Oct,0.03092
dsV3,health_care,Oct,0.03832
dsR1,health_care,Oct,0.02969
gemini,health_care,Oct,0.02697
grok3,health_care,Oct,0.03543
grok3-mini,health_care,Oct,0.02998
gpt4o,financials,Oct,0.04748
gpt4.1,financials,Oct,0.04126
o4-mini,financials,Oct,0.04772
sonnet-3.7,financials,Oct,0.035
sonnet-4,financials,Oct,0.04537
opus-4,financials,Oct,0.05525
dsV3,financials,Oct,0.05048
dsR1,financials,Oct,0.04155
