sector,model,sharpe_ratio
energy,gpt-4o-2024-11-20,-3.65857375052998
energy,gpt-4.1,-3.11353822671714
energy,o4-mini,-3.4126195047704853
energy,gpt-5,-3.329259784605934
energy,claude-3-7-sonnet-20250219,-3.1790796809023614
energy,claude-sonnet-4-20250514,-3.6305140361450263
energy,claude-opus-4-20250514,-3.6901608764975538
energy,deepseek-chat,-3.6255857954749398
energy,deepseek-reasoner,-3.3114891081605684
energy,gemini-2.5-pro-preview-05-06,-3.618110995269579
energy,grok-3-latest,-3.6296986878371627
energy,grok-3-mini-latest,-3.0864443064759994
materials,gpt-4o-2024-11-20,-0.5912779319504784
materials,gpt-4.1,-0.777386364220875
materials,o4-mini,0.161725223981247
materials,gpt-5,-0.926366316838175
materials,claude-3-7-sonnet-20250219,-1.4865513731421602
materials,claude-sonnet-4-20250514,-0.9157795467307196
materials,claude-opus-4-20250514,-0.8689862267938989
materials,deepseek-chat,-0.9101214897392226
materials,deepseek-reasoner,-1.0072064019755302
materials,gemini-2.5-pro-preview-05-06,-0.9277591936257646
materials,grok-3-latest,-0.845420919398566
materials,grok-3-mini-latest,-1.0331189539748549
industrials,gpt-4o-2024-11-20,-1.760531737549207
industrials,gpt-4.1,0.12975644432749914
industrials,o4-mini,-1.4689893327825108
industrials,gpt-5,0.08547512441121735
industrials,claude-3-7-sonnet-20250219,-1.2305189491448763
industrials,claude-sonnet-4-20250514,-0.4569450795248766
industrials,claude-opus-4-20250514,-1.297519843533869
industrials,deepseek-chat,-0.420226205443793
industrials,deepseek-reasoner,-0.8231874141862402
industrials,gemini-2.5-pro-preview-05-06,-0.9254133248954383
industrials,grok-3-latest,-0.892775252300936
industrials,grok-3-mini-latest,0.6884983848158706
consumer_discretionary,gpt-4o-2024-11-20,-0.7796882197207834
consumer_discretionary,gpt-4.1,-0.6339928446547105
consumer_discretionary,o4-mini,0.2863232464838067
consumer_discretionary,gpt-5,-0.6966143011426915
consumer_discretionary,claude-3-7-sonnet-20250219,0.0813795758310695
consumer_discretionary,claude-sonnet-4-20250514,-1.614480362037227
consumer_discretionary,claude-opus-4-20250514,-0.8121609217179335
consumer_discretionary,deepseek-chat,-1.0988079563839412
consumer_discretionary,deepseek-reasoner,-0.7175824847856507
consumer_discretionary,gemini-2.5-pro-preview-05-06,-0.6620797107109195
consumer_discretionary,grok-3-latest,-0.8695690832237536
consumer_discretionary,grok-3-mini-latest,-0.8577489692712386
consumer_staples,gpt-4o-2024-11-20,-0.5912323581870296
consumer_staples,gpt-4.1,-0.9733404266701635
consumer_staples,o4-mini,-0.23290832423727148
consumer_staples,gpt-5,-1.0194241921886829
