sector,model,sharpe_ratio
energy,gpt-4o-2024-11-20,0.6265186084465576
energy,gpt-4.1,0.584397882080239
energy,o4-mini,0.29974618874530173
energy,claude-3-7-sonnet-20250219,1.4781903731420964
energy,claude-sonnet-4-20250514,1.1316353548166551
energy,claude-opus-4-20250514,0.5807619788677714
energy,deepseek-chat,0.2873079666164881
energy,deepseek-reasoner,-0.0748862763429205
energy,gemini-2.5-pro-preview-05-06,1.2731814313411316
energy,grok-3-latest,0.7337908803692554
energy,grok-3-mini-latest,1.4057379684130282
materials,gpt-4o-2024-11-20,-0.48566931693204346
materials,gpt-4.1,-0.2716196220563928
materials,o4-mini,-0.4744091356375815
materials,claude-3-7-sonnet-20250219,-0.24746561541524786
materials,claude-sonnet-4-20250514,-0.03812345261273304
materials,claude-opus-4-20250514,-0.4819492564634954
materials,deepseek-chat,-0.2097014656249047
materials,deepseek-reasoner,-0.36730257196100574
materials,gemini-2.5-pro-preview-05-06,-0.23440439452533351
materials,grok-3-latest,-0.4033454824683662
materials,grok-3-mini-latest,-0.1262842888913064
industrials,gpt-4o-2024-11-20,-0.2090949278334083
industrials,gpt-4.1,-0.08017645553094567
industrials,o4-mini,-0.6105718021273966
industrials,claude-3-7-sonnet-20250219,-0.3672339316133661
industrials,claude-sonnet-4-20250514,-0.1496512475860403
industrials,claude-opus-4-20250514,0.036183866686836826
industrials,deepseek-chat,-0.18748909860122
industrials,deepseek-reasoner,-0.03952842037075278
industrials,gemini-2.5-pro-preview-05-06,-0.20032398604066548
industrials,grok-3-latest,-0.4666961284875504
industrials,grok-3-mini-latest,0.2668076512115375
consumer_discretionary,gpt-4o-2024-11-20,-0.04937771129380643
consumer_discretionary,gpt-4.1,-0.19581693404794612
consumer_discretionary,o4-mini,-0.1032133445499033
consumer_discretionary,claude-3-7-sonnet-20250219,0.15497006921650427
consumer_discretionary,claude-sonnet-4-20250514,-0.11101802985321303
consumer_discretionary,claude-opus-4-20250514,-0.3443496084108676
consumer_discretionary,deepseek-chat,-0.3752073315590002
consumer_discretionary,deepseek-reasoner,-0.3881758926890724
consumer_discretionary,gemini-2.5-pro-preview-05-06,-0.25010101264180884
consumer_discretionary,grok-3-latest,-0.4140823035650788
consumer_discretionary,grok-3-mini-latest,-0.4226948349918386
consumer_staples,gpt-4o-2024-11-20,-1.2600440963401125
consumer_staples,gpt-4.1,-0.6893137406660795
consumer_staples,o4-mini,-1.1785304951715823
consumer_staples,claude-3-7-sonnet-20250219,-1.2973353390770803
consumer_staples,claude-sonnet-4-20250514,-1.4308089698329076
consumer_staples,claude-opus-4-20250514,-1.2247866463850814
consumer_staples,deepseek-chat,-0.33868284095799617
consumer_staples,deepseek-reasoner,-1.3063205888524803
consumer_staples,gemini-2.5-pro-preview-05-06,-0.9684873670510616
consumer_staples,grok-3-latest,-1.4347980149381316
consumer_staples,grok-3-mini-latest,-0.9496750407383123
health_care,gpt-4o-2024-11-20,-0.6020839123629401
health_care,gpt-4.1,-0.29977062771808877
health_care,o4-mini,-0.40044623211992814
health_care,claude-3-7-sonnet-20250219,-0.4598724617723706
health_care,claude-sonnet-4-20250514,-0.5184875448271261
health_care,claude-opus-4-20250514,-0.5722976726664183
health_care,deepseek-chat,-0.4752255379405649
health_care,deepseek-reasoner,-0.7859070116589317
health_care,gemini-2.5-pro-preview-05-06,-0.4411815793373977
health_care,grok-3-latest,-0.4553811633024967
health_care,grok-3-mini-latest,-0.16508320781847366
financials,gpt-4o-2024-11-20,1.420018160009252
financials,gpt-4.1,0.45907602912321466
financials,o4-mini,1.1486666550027431
financials,claude-3-7-sonnet-20250219,1.1046518520357802
financials,claude-sonnet-4-20250514,0.06849590820714294
financials,claude-opus-4-20250514,0.9877127429546495
financials,deepseek-chat,0.7038566942784246
financials,deepseek-reasoner,0.6926185423345904
financials,gemini-2.5-pro-preview-05-06,0.6837643589464839
financials,grok-3-latest,1.5803215894661446
financials,grok-3-mini-latest,1.2817478218768228
information_technology,gpt-4o-2024-11-20,1.0016174431629845
information_technology,gpt-4.1,1.025937583115358
information_technology,o4-mini,0.9888033981370542
information_technology,claude-3-7-sonnet-20250219,1.2896510759750515
information_technology,claude-sonnet-4-20250514,1.2317215976446194
information_technology,claude-opus-4-20250514,0.6695148862135893
information_technology,deepseek-chat,1.117715784215554
information_technology,deepseek-reasoner,0.9674444412538866
information_technology,gemini-2.5-pro-preview-05-06,-0.12027406830298835
information_technology,grok-3-latest,0.905330728678632
information_technology,grok-3-mini-latest,1.029256288578869
communication_services,gpt-4o-2024-11-20,-0.15820715102066948
communication_services,gpt-4.1,-0.18939028241845388
communication_services,o4-mini,-0.21828905668649592
communication_services,claude-3-7-sonnet-20250219,-0.1374440245684974
communication_services,claude-sonnet-4-20250514,-0.3638807121003197
communication_services,claude-opus-4-20250514,-0.327495140340375
communication_services,deepseek-chat,-0.3477872257595917
communication_services,deepseek-reasoner,-0.21946291490294512
communication_services,gemini-2.5-pro-preview-05-06,0.14553245604026882
communication_services,grok-3-latest,0.06009203307298546
communication_services,grok-3-mini-latest,0.10357168327048598
utilities,gpt-4o-2024-11-20,-0.6945925093329705
utilities,gpt-4.1,-1.217395405166209
utilities,o4-mini,-2.0869961195982416
utilities,claude-3-7-sonnet-20250219,-0.36158092285307675
utilities,claude-sonnet-4-20250514,-0.21750514163972184
utilities,claude-opus-4-20250514,-1.125795848636359
utilities,deepseek-chat,-1.177525788037703
utilities,deepseek-reasoner,-0.8065296332986511
utilities,gemini-2.5-pro-preview-05-06,-0.8750250475119475
utilities,grok-3-latest,-0.6618489593709116
utilities,grok-3-mini-latest,-1.093187128024788
real_estate,gpt-4o-2024-11-20,-0.6144003946742194
real_estate,gpt-4.1,-0.757730516785214
real_estate,o4-mini,-0.22448142040555166
real_estate,claude-3-7-sonnet-20250219,-0.6258863991312552
real_estate,claude-sonnet-4-20250514,-0.39318246818598884
real_estate,claude-opus-4-20250514,-0.35596641372146737
real_estate,deepseek-chat,-0.45303255037972356
real_estate,deepseek-reasoner,-0.33674856700614125
real_estate,gemini-2.5-pro-preview-05-06,-0.30462869800449927
real_estate,grok-3-latest,-0.11650263564013243
real_estate,grok-3-mini-latest,-0.3226771215705881
energy,gpt-4o-2024-11-20,0.6265186084465576
energy,gpt-4.1,0.584397882080239
energy,o4-mini,0.29974618874530173
energy,claude-3-7-sonnet-20250219,1.4781903731420964
energy,claude-sonnet-4-20250514,1.1316353548166551
energy,claude-opus-4-20250514,0.5807619788677714
energy,deepseek-chat,0.2873079666164881
energy,deepseek-reasoner,-0.0748862763429205
energy,gemini-2.5-pro-preview-05-06,1.2731814313411316
energy,grok-3-latest,0.7337908803692554
energy,grok-3-mini-latest,1.4057379684130282
materials,gpt-4o-2024-11-20,-0.48566931693204346
materials,gpt-4.1,-0.2716196220563928
materials,o4-mini,-0.4744091356375815
materials,claude-3-7-sonnet-20250219,-0.24746561541524786
materials,claude-sonnet-4-20250514,-0.03812345261273304
materials,claude-opus-4-20250514,-0.4819492564634954
materials,deepseek-chat,-0.2097014656249047
materials,deepseek-reasoner,-0.36730257196100574
materials,gemini-2.5-pro-preview-05-06,-0.23440439452533351
materials,grok-3-latest,-0.4033454824683662
materials,grok-3-mini-latest,-0.1262842888913064
industrials,gpt-4o-2024-11-20,-0.2090949278334083
industrials,gpt-4.1,-0.08017645553094567
industrials,o4-mini,-0.6105718021273966
industrials,claude-3-7-sonnet-20250219,-0.3672339316133661
industrials,claude-sonnet-4-20250514,-0.1496512475860403
industrials,claude-opus-4-20250514,0.036183866686836826
industrials,deepseek-chat,-0.18748909860122
industrials,deepseek-reasoner,-0.03952842037075278
industrials,gemini-2.5-pro-preview-05-06,-0.20032398604066548
industrials,grok-3-latest,-0.4666961284875504
industrials,grok-3-mini-latest,0.2668076512115375
consumer_discretionary,gpt-4o-2024-11-20,-0.04937771129380643
consumer_discretionary,gpt-4.1,-0.19581693404794612
consumer_discretionary,o4-mini,-0.1032133445499033
consumer_discretionary,claude-3-7-sonnet-20250219,0.15497006921650427
consumer_discretionary,claude-sonnet-4-20250514,-0.11101802985321303
consumer_discretionary,claude-opus-4-20250514,-0.3443496084108676
consumer_discretionary,deepseek-chat,-0.3752073315590002
consumer_discretionary,deepseek-reasoner,-0.3881758926890724
consumer_discretionary,gemini-2.5-pro-preview-05-06,-0.25010101264180884
consumer_discretionary,grok-3-latest,-0.4140823035650788
consumer_discretionary,grok-3-mini-latest,-0.4226948349918386
consumer_staples,gpt-4o-2024-11-20,-1.2600440963401125
consumer_staples,gpt-4.1,-0.6893137406660795
consumer_staples,o4-mini,-1.1785304951715823
consumer_staples,claude-3-7-sonnet-20250219,-1.2973353390770803
consumer_staples,claude-sonnet-4-20250514,-1.4308089698329076
consumer_staples,claude-opus-4-20250514,-1.2247866463850814
consumer_staples,deepseek-chat,-0.33868284095799617
consumer_staples,deepseek-reasoner,-1.3063205888524803
consumer_staples,gemini-2.5-pro-preview-05-06,-0.9684873670510616
consumer_staples,grok-3-latest,-1.4347980149381316
consumer_staples,grok-3-mini-latest,-0.9496750407383123
health_care,gpt-4o-2024-11-20,-0.6020839123629401
health_care,gpt-4.1,-0.29977062771808877
health_care,o4-mini,-0.40044623211992814
health_care,claude-3-7-sonnet-20250219,-0.4598724617723706
health_care,claude-sonnet-4-20250514,-0.5184875448271261
health_care,claude-opus-4-20250514,-0.5722976726664183
health_care,deepseek-chat,-0.4752255379405649
health_care,deepseek-reasoner,-0.7859070116589317
health_care,gemini-2.5-pro-preview-05-06,-0.4411815793373977
health_care,grok-3-latest,-0.4553811633024967
health_care,grok-3-mini-latest,-0.16508320781847366
financials,gpt-4o-2024-11-20,1.420018160009252
financials,gpt-4.1,0.45907602912321466
financials,o4-mini,1.1486666550027431
financials,claude-3-7-sonnet-20250219,1.1046518520357802
financials,claude-sonnet-4-20250514,0.06849590820714294
financials,claude-opus-4-20250514,0.9877127429546495
financials,deepseek-chat,0.7038566942784246
financials,deepseek-reasoner,0.6926185423345904
financials,gemini-2.5-pro-preview-05-06,0.6837643589464839
financials,grok-3-latest,1.5803215894661446
financials,grok-3-mini-latest,1.2817478218768228
information_technology,gpt-4o-2024-11-20,1.0016174431629845
information_technology,gpt-4.1,1.025937583115358
information_technology,o4-mini,0.9888033981370542
information_technology,claude-3-7-sonnet-20250219,1.2896510759750515
information_technology,claude-sonnet-4-20250514,1.2317215976446194
information_technology,claude-opus-4-20250514,0.6695148862135893
information_technology,deepseek-chat,1.117715784215554
information_technology,deepseek-reasoner,0.9674444412538866
information_technology,gemini-2.5-pro-preview-05-06,-0.12027406830298835
information_technology,grok-3-latest,0.905330728678632
information_technology,grok-3-mini-latest,1.029256288578869
communication_services,gpt-4o-2024-11-20,-0.15820715102066948
communication_services,gpt-4.1,-0.18939028241845388
communication_services,o4-mini,-0.21828905668649592
communication_services,claude-3-7-sonnet-20250219,-0.1374440245684974
communication_services,claude-sonnet-4-20250514,-0.3638807121003197
communication_services,claude-opus-4-20250514,-0.327495140340375
communication_services,deepseek-chat,-0.3477872257595917
communication_services,deepseek-reasoner,-0.21946291490294512
communication_services,gemini-2.5-pro-preview-05-06,0.14553245604026882
communication_services,grok-3-latest,0.06009203307298546
communication_services,grok-3-mini-latest,0.10357168327048598
utilities,gpt-4o-2024-11-20,-0.6945925093329705
utilities,gpt-4.1,-1.217395405166209
utilities,o4-mini,-2.0869961195982416
utilities,claude-3-7-sonnet-20250219,-0.36158092285307675
utilities,claude-sonnet-4-20250514,-0.21750514163972184
utilities,claude-opus-4-20250514,-1.125795848636359
utilities,deepseek-chat,-1.177525788037703
utilities,deepseek-reasoner,-0.8065296332986511
utilities,gemini-2.5-pro-preview-05-06,-0.8750250475119475
utilities,grok-3-latest,-0.6618489593709116
utilities,grok-3-mini-latest,-1.093187128024788
real_estate,gpt-4o-2024-11-20,-0.6144003946742194
real_estate,gpt-4.1,-0.757730516785214
real_estate,o4-mini,-0.22448142040555166
real_estate,claude-3-7-sonnet-20250219,-0.6258863991312552
real_estate,claude-sonnet-4-20250514,-0.39318246818598884
real_estate,claude-opus-4-20250514,-0.35596641372146737
